http://	<urlopen error no host given>
http://cf.datawrapper.de/98zPz/6?abcnewsembedheight=400	HTTP Error 403: Forbidden
http://www.aihw.gov.au/WorkArea/DownloadAsset.aspx?id=60129548869	HTTP Error 403: Forbidden
http://www.abs.gov.au/AUSSTATS/abs@.nsf/Latestproducts/8153.0Glossary1June%202017?opendocument&tabname=Notes&prodno=8153.0&issue=June%202017&num=&view=	HTTP Error 404: Not Found
http://www.asd.gov.au/governance/accountability.htm	HTTP Error 403: Forbidden
http://www.alp.org.au/fairer_super_plan	HTTP Error 308: Permanent Redirect
http://www.ato.gov.au/Rates/Company-tax/?page=1#Tax_rates_2012_13	HTTP Error 403: Forbidden
http://www.fas.org/sgp/crs/row/R40571.pdf	HTTP Error 403: Forbidden
http://www.humanservices.gov.au/customer/services/centrelink/newstart-allowance	HTTP Error 403: Forbidden
http://engage.haveyoursay.nsw.gov.au/document/show/329	<urlopen error timed out>
http://www.graduatecareers.com.au/research/gradjobsdollars/	HTTP Error 404: Not Found
http://www.joehockey.com/media/transcripts/details.aspx?s=697	HTTP Error 404: Not Found
http://unfccc.int/di/DetailedByParty.do	timed out
http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-projections/rep-background-and-methods.html#tab-Appendix-A--Note-of-the-Meeting-of-the-National-Population-Projections-Expert-Advisory-Group	HTTP Error 403: Forbidden
http://www.phio.org.au/downloads/file/PublicationItems/SOHFR2011.pdf	HTTP Error 403: Forbidden
http://www.preymareport.com/index.html	HTTP Error 403: Forbidden
http://www.scew.gov.au/sites/www.scew.gov.au/files/resources/020c2577-eac9-0494-493c-d1ce2b4442e5/files/wastemgt-nat-waste-report-final-20-fullreport-201005-0.pdf	<urlopen error [Errno 11001] getaddrinfo failed>
http://www.tourism.vic.gov.au/component/edocman/?view=document&id=260&Itemid=0	HTTP Error 403: Forbidden
http://www.unswlawjournal.unsw.edu.au/sites/default/files/61_the_temporary_refugees.pdf	HTTP Error 404: Not Found
https://www.ato.gov.au/General/New-legislation/In-detail/Direct-taxes/Income-tax-for-businesses/Reducing-the-corporate-tax-rate/#	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Brendan%20O\'Connor%20incorrect%20on%20Cole%20royal%20commission%20cost%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-02-14%2Fbrendan-oconnor-incorrect-on-royal-commission-cost%2F5255490&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://dl.dropboxusercontent.com/u/22211619/Palmer/CP%20Speech%20Campaign%20Launch.pdf	HTTP Error 404: Not Found
https://www.theaustralian.com.au/national-affairs/electric-car-plans-spark-showdown/news-story/e7f060f5b2a4371a4e0b202a5c61ab06	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Did%20the%202015-16%20Women\'s%20Big%20Bash%20League%20attract%20more%20viewers%20than%20the%20men\'s%20A-League%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2016-04-03%2Ffact-check-does-womens-big-bash-league-outrate-the-a-league%2F7253846&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.abc.net.au//datawrapper.dwcdn.net/jG635/6?abcnewsembedheight=370	HTTP Error 404: Not Found
https://www.msz.gov.pl/en/p/wiedenobwe_at_s_en/news/memorandum_on_security_assurances_in_connection_with_ukraine_s_accession_to_the_treaty_on_the_npt	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://twitter.com/intent/tweet?text=Warren%20Truss%20inflates%20the%20impact%20of%20GrainCorp\'s%20sale%20on%20ports%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2013-11-19%2Fwarren-truss-graincorp-foreign-ownership-ports%2F5083024&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.lifeline.org.au/	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Promise%20check%3A%20%241.5%20billion%20for%20Sydney\'s%20WestConnex%20%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-07-27%2Fsydney-westconnex-promise-check%2F5505696&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Will%20Queensland\'s%20proposed%20abortion%20laws%20allow%20unrestricted%20access%20after%2022%20weeks%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2018-10-04%2Ffact-check-queensland-abortion-laws-unrestricted-access%2F10264402&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/O5McV/1?abcnewsembedheight=400	HTTP Error 404: Not Found
https://www.liberal.org.au/latest-news/2012/11/30/independent-judicial-inquiry-australian-workers-union-workplace-reform	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Does%20Australians\'%20spending%20on%20pets%20show%20how%20little%20the%20nation%20spends%20on%20foreign%20aid%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2017-09-11%2Ffact-check-pet-spending-foreign-aid%2F8849294&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.aer.gov.au/system/files/AER%20State%20of%20the%20energy%20market%202017%20-%20A4.pdf#page=135	HTTP Error 403: Forbidden
http://cf.datawrapper.de/VFPlB/2?abcnewsembedheight=400	HTTP Error 403: Forbidden
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/kJsZz/3?abcnewsembedheight=370	HTTP Error 404: Not Found
https://www.sbs.ox.ac.uk/faculty-research/tax/publications/working-papers/can-taxes-tame-banks-evidence-european-bank-levies	HTTP Error 404: Not Found
http://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/r5245_ems_05ccd5cd-6983-4f5b-9d88-b21257a81abf/upload_pdf/394131.pdf;fileType=application%2Fpdf#search=%22legislation/ems/r5245_ems_05ccd5cd-6983-4f5b-9d88-b21257a81abf%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1990-12-04/toc_pdf/H%201990-12-04.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/1990-12-04/0000%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/library/partypol/2707314/upload_binary/2707314.pdf;fileType=application/pdf#search=%222010s%202013%20liberal-national%20coalition%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/committees/estimate/e0ac4873-6e45-47ec-b82f-7eb06a2dd45f/toc_pdf/Legal%20and%20Constitutional%20Affairs%20Legislation%20Committee_2014_10_20_2981_Official.pdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;adv=yes;orderBy=customrank;page=4;query=%22heather%20hill%22%20Decade%3A%221990s%22%20Year%3A%221999%22;rec=12;resCount=Default	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/media/pressrel/HPR09029003/upload_binary/HPR09029003.pdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/db5f6838-aac3-4986-a738-656c5facebf6/toc_pdf/House%20of%20Representatives_2014_06_26_2601.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/db5f6838-aac3-4986-a738-656c5facebf6/0000%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22legislation%2Fbillhome%2Fr4647%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://www.aihw.gov.au/WorkArea/DownloadAsset.aspx?id=60129549644	HTTP Error 403: Forbidden
http://www.ato.gov.au/uploadedFiles/Content/CR/Research_and_statistics/In_detail/Downloads/cor00345977_2011CH2IND.pdf	HTTP Error 403: Forbidden
http://www.asia-pacific-solidarity.net/ietnews/ietnews_280214.htm	HTTP Error 404: Not Found
http://www.abs.gov.au/AUSSTATS/abs@.nsf/Latestproducts/8501.0Media%20Release1Oct%202013?opendocument&tabname=Summary&prodno=8501.0&issue=Oct%202013&num=&view=	HTTP Error 404: Not Found
http://www.alp.org.au/financeforsmallbusiness	HTTP Error 308: Permanent Redirect
http://www.accc.gov.au/system/files/ACCC%20Petrol%20Report%202012.pdf	HTTP Error 403: Forbidden
http://studyassist.gov.au/sites/StudyAssist/HelpfulResources/Documents/2014%20CSP+HECS-HELP%20booklet.pdf	HTTP Error 404: Not Found
http://www.bocsar.nsw.gov.au/Documents/bb93.pdf	HTTP Error 404: NOT FOUND
http://www.fas.org/sgp/crs/secrecy/R41404.pdf	HTTP Error 403: Forbidden
http://www.couriermail.com.au/business/rich-list	HTTP Error 403: Forbidden
http://www.ca.go.ke/images/downloads/STATISTICS/Sector%20Statistics%20Report%20Q4%20%202016-17.pdf	HTTP Error 404: Not Found
http://www.humanservices.gov.au/customer/services/centrelink/parental-leave-pay	HTTP Error 403: Forbidden
http://dnb.com.au/Header/News/Business_payment_times_indicate_poor_financial_health/indexdl_10455.aspx	HTTP Error 500: Internal Server Error
http://www.macrobusiness.com.au/2014/10/australias-addiction-to-private-debt/	HTTP Error 403: Forbidden
http://www.fsc.org.au/downloads/file/MediaReleaseFile/2014_0902_Australianswillhave$128billionlessinsuperby2021.pdf	HTTP Error 404: Not Found
http://www.phio.org.au/downloads/file/PublicationItems/SOHFR2012final.pdf	HTTP Error 403: Forbidden
http://www.joehockey.com/media/transcripts/details.aspx?s=768	HTTP Error 404: Not Found
http://www.oecd.org/els/family/CO2.2%20Child%20poverty%20-%20update%20270112.pdf	HTTP Error 404: Not Found
http://www.dpi.nsw.gov.au/aboutus/news/all/2013/avian-influenza-confirmed-at-young-egg-farm	HTTP Error 404: Not Found
http://www.ncoa.gov.au/report/docs/phase_one_report.pdf	HTTP Error 404: Not Found
http://www.financeminister.gov.au/media/2014/0716-labor-2013-14-budget-savings.html	HTTP Error 404: Not Found
http://www.nswtaxi.org.au/news/law-must-be-upheld	HTTP Error 404: Not Found
http://www.nbnco.com.au/assets/documents/fixed-wireless-factsheet.pdf	HTTP Error 404: Not Found
http://www.liberal.org.au/latest-news/2013/05/16/tony-abbott-budget-reply-parliament-house-canberra	HTTP Error 403: Forbidden
http://www.stats.gov.cn/english/newsandcomingevents/t20130222_402874607.htm	HTTP Error 404: Not Found
http://www.tga.gov.au/consumers/ecigarettes.htm#.U9s6yvmSx8E	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://www.ato.gov.au/General/New-legislation/In-detail/Direct-taxes/Income-tax-for-individuals/Temporary-Budget-Repair-levy/	HTTP Error 403: Forbidden
https://www.theaustralian.com.au/opinion/columnists/henry-ergas/migrant-crisis-refugees-must-be-prioritised-on-their-beliefs/news-story/15d7811304312b00686810103dc3f9f3	HTTP Error 403: Forbidden
https://infrastructure.gov.au/infrastructure/pab/soac/files/2015_SoAC_full_report.pdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://www.lifeline.org.au/About-Lifeline/Media-Centre/Media-Releases/calls-for-national-emergency-on-suicide	HTTP Error 403: Forbidden
