http://The names of the 5 people arrested for stone pelting a children\xe2\x80\x99s school bus in the name of Karni Sena protesting against Bhansali\xe2\x80\x99s movie are Saddam, Aamir, Feroze, Nadeem and Ashraf. IF ABOVE NEWS IS TRUE THEN IT SPEAKS VOLUMES. No more need be said	encoding with 'idna' codec failed (UnicodeError: label empty or too long)
http://fitmom-daily.com-cql9mhxhvpski.top/go/cb-v5-dvid/index_tac.html?city=Mumbai&src=TAC&voluumdata=BASE64dmlkLi4wMDAwMDAwMi0xZjc1LTQyMDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjg3Y2IyMDAwLTMyNTMtMTFlNy04OTk2LTQ1ZmJlNmNhZGE1Ml9fY2FpZC4uMmRmZmI0Y2ItNjY5Ni00ODI2LTk1NzctNDFjMjhhNWNiZGZiX19ydC4uUl9fbGlkLi4zNDY3MjYzNy05MTc2LTRmNGItYjMzNi01Yzc3ODNmOTg0MmRfX29pZDEuLjQ1YzhiYzhlLWMxZmMtNGQwYi05NGU3LWU1ODc4ZmNjNzg0ZF9fdmFyMS4uMVxfXDE3XF9cRkRzX19yZC4udGltZXNvZmluZGlhXC5caW5kaWF0aW1lc1wuXGNvbV9fYWlkLi5fX2FiLi5fX3NpZC4uX19jcmkuLl9fcHViLi5fX2RpZC4uX19kaXQuLl9fcGlkLi5fX2l0Li5fX3Z0Li4xNDk0MDc1MDEwNzAx&adid=1_17_FDs	<urlopen error [Errno 11001] getaddrinfo failed>
http://ncrb.nic.in/StatPublications/CII/CII2015/FILES/Table%207.7.pdf	HTTP Error 403: Forbidden
http://worldnewsdailyreport.com/india-border-guards-arrest-donkey-accused-of-being-a-pakistani-spy/	HTTP Error 403: Forbidden
http://www.huffingtonpost.in/2017/05/10/the-feel-good-story-of-the-young-jaipur-man-who-got-a-plum-job-i_a_22078026/	HTTP Error 403: Forbidden
http://www.tehelka.com/2013/11/can-a-talib-change-his-spots/	HTTP Error 403: Forbidden
https://economictimes.indiatimes.com/industry/banking/finance/urjit-patel-holds-long-gestation-projects-responsible-for-high-npas/articleshow/57097546.cms	HTTP Error 403: Forbidden
https://i2.wp.com/www.indiaspend.com/wp-content/uploads/Desktop-2-1.png	HTTP Error 404: File Not Found
http://www.consumersguide.in/index.htm	<urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
https://twitter.com/AadilKh96317080/	HTTP Error 404: Not Found
https://theprint.in/2017/11/25/bamboo-not-a-tree-anymore/	HTTP Error 403: Forbidden
http://worldnewsdailyreport.com/malaysia-crown-prince-converts-to-catholicism-shocks-muslim-world/	HTTP Error 403: Forbidden
https://twitter.com/iRamnathKovind/status/876762560606949377	HTTP Error 404: Not Found
http://ncrb.nic.in/StatPublications/CII/CII2015/chapters/Chapter%2025-15.11.16.pdf	HTTP Error 403: Forbidden
http://www.tehelka.com/tag/robert-grenier/	HTTP Error 403: Forbidden
http://www.sharethefacts.co/share/0a2558de-cfd4-49fb-a0d7-0f18530e419e	HTTP Error 403: Forbidden
https://www.boomlive.in/26-gujarat-mlas-face-criminal-charges-141-are-crorepatis/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/airtel-bigotry-row-the-gaganjot-tweet-to-pooja-that-everyone-missed/?share=twitter&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/did-baahubalis-prabhas-meet-pm-to-donate-rs-121-crore-to-crpf-jawans/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/category/entertainment/	HTTP Error 403: Forbidden
https://www.boomlive.in/did-upa-break-the-back-of-terrorism-in-jk-as-claimed-by-rahul-gandhi-a-factcheck/#respond	HTTP Error 403: Forbidden
https://www.boomlive.in/claim-karnataka-ranks-first-in-investment-intentions-fact-yes-but-implementation-is-low/#respond	HTTP Error 403: Forbidden
https://www.boomlive.in/author/raghu-raman/	HTTP Error 403: Forbidden
https://www.boomlive.in/did-a-woman-protester-throw-a-shoe-at-pm-narendra-modi/?share=linkedin&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/bjp-repeat-offender-in-spreading-fake-images-top-10-faux-pas/?share=twitter&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/fact-check-rahul-gandhi-no-dynasty-infosys/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/fact-vs-fiction-fake-jet-airways-ad-fake-news-about-narendra-modi/?share=facebook&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/fake-video-alert-no-muslims-did-not-thrash-naga-sadhu-in-uttarakhand/	HTTP Error 403: Forbidden
https://www.boomlive.in/inside-the-twisted-mind-of-the-man-behind-hindutva-varta-facebook-page/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/nipah-virus-fake-alerts-go-viral-on-social-media-as-death-toll-rises/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/is-there-a-rise-in-cow-related-violence-post-2014-yes-suggests-data/?share=twitter&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/disband-congress-said-chatur-baniya-gandhi-but-he-had-a-message-for-all/?share=linkedin&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/no-these-bjp-ministers-were-not-sleeping-during-the-budget/?share=facebook&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/congress-facebook-page-disables-sponsored-ad-in-pakistan/?share=twitter&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/has-bjp-fielded-a-terrorist-in-jk-local-body-elections/?share=facebook&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/tag/5-star-hotels/	HTTP Error 403: Forbidden
https://www.boomlive.in/kerala-floods-did-uae-really-offer-100-mn-aid/#print	HTTP Error 403: Forbidden
https://www.boomlive.in/nehru-met-bhagat-singh-in-jail-the-tribunes-archives-disproves-modis-claim/?share=linkedin&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/srinagar-to-leh-in-15-minutes-smriti-irani-gets-trolled-on-twitter-still-doesnt-delete-tweet/#comments	HTTP Error 403: Forbidden
https://www.boomlive.in/mystery-looms-over-tweet-about-jiofiber-from-fake-isha-ambani-account/#comments	HTTP Error 403: Forbidden
https://www.boomlive.in/once-bitten-twice-not-shy-congress-repeats-twitter-poll-amid-trolling/#respond	HTTP Error 403: Forbidden
https://www.boomlive.in/attack-on-umar-khalid-brazen-gau-rakshaks-claim-responsibility/?share=facebook&nb=1	HTTP Error 403: Forbidden
https://www.boomlive.in/tag/duffel-blog/	HTTP Error 403: Forbidden
https://www.boomlive.in/tag/airports/	HTTP Error 403: Forbidden
https://www.boomlive.in/did-lok-sabha-website-censor-bjd-mps-speech-on-beef-lynchings/#respond	HTTP Error 403: Forbidden
https://www.boomlive.in/gst-primer-no-double-taxation-if-you-pay-utility-bills-through-credit-card/#comments	HTTP Error 403: Forbidden
