claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
None   CLAIM: Pet owners travelling from Northern Ireland to Ireland require “EU pet passports”.   CONCLUSION: True. This includes your pet being marked by a transponder (microchip) and vaccinated against rabies. There are presently no border checks for pets (as official policy); however it is uncertain what regulations will apply post-Brexit.   https://www.factcheckni.org/facts/northern-ireland-pets-need-passports-ireland/   None   brexit   None   None   None   Do Northern Ireland pets need passports for Ireland?   5th October 2018   None
None   CLAIM: There are 208 border crossings between Ireland and Northern Ireland.   CONCLUSION: Unproven. It is extremely difficult to accurately establish the exact number of border crossings, as many informal routes have been established since border infrastructure was removed and many are on private land, but the official number of main routes so far identified by the Irish and Northern Ireland governments is 208.   https://www.factcheckni.org/facts/208-ireland-northern-ireland-border-crossings/   None   brexit   None   None   None   Are there 208 Ireland-Northern Ireland border crossings?   8th June 2018   None
None   CLAIM: 60% of sales from Northern Ireland go to Great Britain.   CONCLUSION: Accurate; however the true figure is closer to 56%.   https://www.factcheckni.org/facts/northern-ireland-sell-60-goods-great-britain/   None   brexit   None   None   None   Does Northern Ireland sell 60% of its goods to Great Britain?   12th March 2018   None
None   CLAIM: 30,000 people cross Ireland-Northern Ireland border daily.   CONCLUSION: Accurate. Indeed, this may be a low estimation, excluding train and other road journeys.   https://www.factcheckni.org/facts/do-30000-people-cross-ireland-northern-ireland-border-daily/   None   brexit   None   None   None   Do 30,000 people cross Ireland-Northern Ireland border daily?   27th April 2017   None
None   CLAIM: The voting results from Northern Ireland of the EU referendum compels the Secretary of State for Northern Ireland to call a border boll.   CONCLUSION: False. The Secretary of State may bring forth a border poll when presented with evidence that a majority of electors may choose to change the constitutional status of Northern Ireland. There has been no evidence yet published.   https://www.factcheckni.org/facts/must-the-sos-call-a-post-brexit-border-poll/   None   brexit   None   None   None   Must the SoS call a post-Brexit border poll?   18th July 2016   None
None   CLAIM: Over a quarter of a million people migrate to the UK from the EU every year.   CONCLUSION: The claim is true, but it doesn't include the amount of people migrating from the UK to the EU: net migration in 2015 was +184,000. There is no single source that tracks migration to Northern Ireland. Medical card registrations are one method. The 2011 Census showed that 2.16% of the Northern Ireland population held an EU/EEA passport.   https://www.factcheckni.org/facts/what-is-eu-to-northern-ireland-net-migration/   None   brexit   None   None   None   What is EU to Northern Ireland net migration?   23rd June 2016   None
None   CLAIM: Northern Ireland is a net contributor to the EU.   CONCLUSION: This claim is false, as we estimate that Northern Ireland was a net recipient of £74 million in the 2014/15 financial year. Others have claimed that Northern Ireland is a recipient of £58 million, but this fails to take into account the requirement for match funding under the PEACE Programme and the exact value of farm subsidies.   https://www.factcheckni.org/facts/is-northern-ireland-a-net-contributor-to-the-eu/   None   brexit   None   None   None   Is Northern Ireland a net contributor to the EU?   15th June 2016   None
None   CLAIM: A customs frontier between Ireland and Northern Ireland land border is unavoidable in the event of a United Kingdom withdrawal from the European Union.   CONCLUSION: There is no non-EU member state that currently has a customs-free border with the EU, even if they are members of the Schengen Area and maintain the free movement of people. There is no existing model that would permit the continued lack of a customs frontier in Northern Ireland if the UK left the EU.   https://www.factcheckni.org/facts/would-brexit-lead-to-a-customs-frontier/   None   brexit   None   None   None   Would Brexit lead to a customs frontier?   18th May 2016   None
None   CLAIM: Lord Mandelson speaking about the border with Ireland in case of Brexit:  “It would mean a return to customs posts, border checks; I don’t know exactly what the arrangements would be …”   CONCLUSION: Travel between the UK and Ireland is currently unaffected by EU membership, as they have both opted out of joining the Schengen Area and maintained their own Common Travel Area since long before the EU came into existence. If the UK left Europe, then the land border with Northern Ireland could be maintained by the introduction of internal border enforcement and/or greater cooperation between British and Irish governments in a shared policy toward their external borders.   https://www.factcheckni.org/facts/would-brexit-lead-to-northern-ireland-land-border-checks/   None   brexit   None   None   None   Would Brexit lead to Northern Ireland land border checks?   2nd May 2016   None
None   CLAIM: 1 in 8 jobs in Northern Ireland is supported by European Union (EU) membership.   CONCLUSION: While 1 in 8 jobs in Northern Ireland is not necessarily dependent on EU membership, a growing portion of the labour market is related to trade with the EU. This growth is particularly substantial in Northern Ireland, and it is difficult to predict if it would be sustained without the single market.   https://www.factcheckni.org/facts/1-in-8-jobs-is-supported-by-eu-membership/   None   brexit   None   None   None   Are 1 in 8 jobs supported by EU membership?   15th April 2016   None
