claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0	This week, the Supreme Court upheld a critical part of the Affordable Care Act that allows people to get subsidies when they buy insurance on the federal exchange. The decision came down to four words, which the plaintiffs argued allowed only people buying insurance through state-based marketplaces, like Minnesota’s MNsure, to get the money. Minnesota’s Washington, D.C., delegation was split on the ruling, with Republicans opposing it and Democrats applauding it. This week, PoliGraph looked at claims on both sides of the issue.  	accurate	https://blogs.mprnews.org/capitol-view/2015/06/poligraph-claims-about-obamacare/	None	None	None	Catharine Richert	None	PoliGraph: Claims about Obamacare	June 26, 2015, 2:08 PM	None
1	The 2015 legislative session is over, and Republicans are touting the fact that they were able to keep spending low. Here’s what House Speaker Kurt Daudt said in the hours following the end of the special session. “I’m proud to say, upon enactment, our budget will have the third lowest percent increase in general fund spending in over 50 years.” Daudt is correct, but his statement deserves some context.  	accurate	https://blogs.mprnews.org/capitol-view/2015/06/poligraph-daudt-spending-claim-mostly-true/	None	None	None	Catharine Richert	None	PoliGraph: Daudt spending claim mostly true	June 19, 2015, 2:00 PM	None
2	The legislative session may be over, but that doesn’t mean we’ll stop hearing about pre-kindergarten any time soon. The issue was a major flashpoint between Gov. Mark Dayton’s administration and legislators, including DFLers in the Senate. It came down to this: Should the Legislature set aside millions to fund pre-kindergarten in all public schools or boost overall school spending and target other dollars to families who are least likely to be able to afford quality early education? Ultimately, Dayton and legislators settled on the latter option, passing a $17 billion education bill. But in the final hours of the special session, Rep. Tony Cornish, R-Vernon Center, said the money isn’t well spent in the first place. “It’s a great babysitting service. But you have no empirical evidence to prove that pre-K doesn’t wear off by third or fourth grade,” he said during debate over the bill. Cornish is relying on one study, though reputable, to make his case while ignoring a pile of conflicting evidence. 	FALSE	https://blogs.mprnews.org/capitol-view/2015/06/poligraph-cornish-pre-k-claim-misses-mark/	None	None	None	Catharine Richert	None	PoliGraph: Cornish pre-K claim misses mark	June 17, 2015, 2:04 PM	None
3	By now you have probably heard of Minnesota’s State Auditor. That’s because a change in the state auditor’s responsibilities was, at least for a few days, the main reason legislators hadn’t met yet for a special session. Because of a law that passed during the regular session, counties can outsource their audits to accounting firms instead of having the state auditor’s office do the work. Rep. Sarah Anderson, R- Plymouth, who sponsored the state government funding bill, which included the change, said the idea is to save counties money. State Auditor Rebecca Otto says the change will gut her office, and she plans to take the issue to court.  PoliGraph looked at claims on both sides of the issue and found a concrete answer to be elusive. 	FALSE	https://blogs.mprnews.org/capitol-view/2015/06/poligraph-truth-elusive-in-state-auditor-claims/	None	None	None	Catharine Richert	None	PoliGraph: Truth elusive in state auditor claims	June 12, 2015, 2:00 PM	None
4	Democratic presidential candidate Sen. Bernie Sanders, D-Vt., brought his populist message to Minneapolis last Sunday. His speech, which he gave to mark the start of his campaign here, focused largely on income inequality. PoliGraph looked at two statements Sanders made and found that, while Sanders tends toward hyperbole, his claims were mostly backed by facts.  “In America today, we have more income and wealth inequality than any other major industrialized country on earth.” This line is standard fare in Sanders’ speeches, and not too long ago, FactCheck.org said it was an exaggeration. Since then, Sanders has fine-tuned his rhetoric a bit, saying America has the worst income and wealth inequality of any other industrialized nation on earth. By adding that qualifier, Sanders comes closer to the truth, but a lot depends on how you define industrialized countries. A Sanders spokesman pointed to a recent CNN article that said Israel and the U.S. are at the top of the list when it comes to income inequality. Other rankings put the U.S. in a similar position. According a report by the Credit Suisse Research, the U.S. is near the top of wealth inequality, too. But using a list of “advanced” or industrialized nations from the World Factbook, which is published by the Central intelligence Agency, the U.S. is outranked by Turkey and Hong Kong. Different sources use different standards for defining industrialized nations and income inequality, but Sanders is mostly correct in his statement: The U.S. is near the top of income and wealth inequality rankings when it comes to industrialized nations. “The truth is that unemployment in America is not 5.4 percent…. If you include those people who have given up looking for work, and those people who are working part time, real unemployment in America today is close to 11 percent.” Sanders is right that national unemployment is 5.4 percent. And Sanders is correct that the national unemployment rate doesn’t tell the whole story. For instance, the official unemployment rate doesn’t include people who are discouraged from looking for work, or who are marginally attached to the work force. Those people are captured in a separate statistic that also includes people who are working part-time but say they would like to be working more. Right now, this figure is roughly 11 percent. Politicians on the left and right have often pointed to the “U-6,” the technical term used by the Bureau of Labor Statistics, as the “real” unemployment rate. But the BLS routinely pushes back on that description in part because it does include people who are employed part time. Sanders is clearly using a higher number to make a political point. But what he does get right is the fact that the U.S. employment outlook is more complicated than just one number. And the U-6 is a legitimate figure sometimes used by politicians and economists to paint a broader picture of economy. As a result, this part of Sanders speech leans toward accurate as well. 	accurate	https://blogs.mprnews.org/capitol-view/2015/06/poligraph-sanders-claims-about-inequality/	None	None	None	Catharine Richert	None	PoliGraph: Sanders claims about inequality	June 5, 2015, 2:00 PM	None
5	The 2015 session will be remembered as the one when Gov. Mark Dayton and the Legislature couldn’t come to terms on education funding. Dayton vetoed the education bill. Dayton wants $150 million more in the K-12 education bill to support pre-kindergarten programs in public schools. Republicans and some DFLers say the additional $400 million they put into education should be enough. Most of it is going to the per pupil formula. It’s an issue that has pitted Dayton against members of his own party, and underscores a fundamental difference in how many Democrats and Republicans view the issue of early learning.  Many on the right say that, in addition to giving schools more money across the board, extra cash should be invested in early learning scholarships for low-income students, which gives parents a choice in where their kids start their education. (The funding bill includes money for this program, too.) On the left, many believe that to level the playing field for all kids, early education should be free and offered universally in public schools. This week, PoliGraph looked at two essential arguments on either side of the debate. The impasse sets the Legislature up for a special session to renegotiate a deal before July 1, when the new fiscal year begins and the state’s education department would shut down without annual funding. Republicans say Minnesota’s school administrators oppose Dayton’s pre-K plan. Dayton’s proposed expansion would be voluntary and for only half the day. Some school superintendents do oppose the idea. For instance, the Association of Metropolitan School Districts, which represents schools in the Twin Cities area, said universal pre-kindergarten “is a worthy goal.” “But our school districts need time to secure the necessary classroom space and licensed staff, develop transportation plans, provide staff training, and be prepared to serve pre-kindergarten students with special needs,” wrote AMSD executive director Scott Croonquist in a letter to House Education Finance Chair Rep. Jenifer Loon, R-Eden Prairie earlier this month. Instead, Croonquist’s group supports more funding for the per pupil formula – which is what the bill sent to Dayton includes – and higher investments in the School Readiness program, which serves 3 and 4 year olds who are underprepared for kindergarten. Similar views are shared by the Minnesota School Boards Association, individual administrators across the state, and even Dayton’s Early Learning Council, which suggested some of the money should be invested in the early education scholarship program. The Minnesota Association of School Administrators has a more nuanced view on the issue. Executive Director Gary Amoroso said his group supports Dayton’s call for $150 million more. But it would like to see much of it added to the formula, with an undefined expansion of early childhood learning coming next. Amoroso said he doesn’t view the issue as a divide between Dayton and the superintendents. However, some superintendents do support Dayton’s proposal. They include Julia Espe, who is superintendent of Princeton’s Public Schools. She wrote in a letter to legislators that “universal pre-K for 4-year-olds will help us with our core mission–educating every single student… Why can’t we provide this strategy to close the achievement gap when the state has a surplus?” Espe’s views were echoed by superintendents in Bloomington, Maplewood and South St. Paul, among other places. Dayton says universal pre-kindergarten in public schools will help close the achievement gap. At the core of Dayton’s argument is that expanding pre-kindergarten to public schools will give all kids a better start in life. Dayton has cause for concern. Minnesota ranks last among 41 states when it comes to access to state pre-kindergarten programs and Minnesota ranks high when it comes to daycare and pre-kindergarten costs. And the state’s achievement gap between white students and students of color remains stubbornly wide. Meanwhile, there’s some consensus among early learning experts that students, regardless of race and economic background, who attend high quality pre-kindergarten do better in school and in life, said Milagros Nores, who is Associate Director of Research at the National Institute for Early Education Research. Nores added that the effects are even stronger for low-income, minority and dual language children. But Nores said learning can happen in a number of settings, not just public schools, and still be successful. “If the experience is high-quality, then it doesn’t matter where the child learns,” she said. Some states, including Georgia, have an all-public approach, and the outcomes are good. Other states use a combination of public and private programs, and children are successful there, too, Nores said. Minnesota falls into the latter category, with lower-income children accessing pre-K with state-funded scholarships. Dayton’s budget preserves that funding, but critics say more money should be dedicated to those programs. University of Minnesota professor and early childhood learning expert Arthur Reynolds agrees that quality trumps location. But Reynolds also pointed out that many of the factors associated with quality – such as teaching skills and curriculum – are often found in the public school setting. “Many of these features are more common in schools, especially teacher pay and certification, but private centers can also be very strong in these areas, sometimes stronger such as in [lower] group size,” Reynolds said. “There tends to be more variation in quality in private programs comparatively.” Reynolds also emphasized access, particularly when it comes to pre-K costs in Minnesota. “There has been greater reliance on private programs, family -based programs but the need to build a larger more unified system is real and that is what the Governor is proposing,” Reynold said. The Verdicts Figuring out how to better educate Minnesota’s children is a politically thorny and complicated issue. And while there’s some uncertainty about how widespread support is for Dayton’s plan and whether ultimately expanding pre-kindergarten to all public schools is entirely necessary, politicians on both sides of the issue are making sound and reasonable arguments based on plenty of facts. That’s why PoliGraph is saying both sides are accurate.  	accurate	https://blogs.mprnews.org/capitol-view/2015/05/poligraph-arguing-for-and-against-public-pre-k/	None	None	None	Catharine Richert	None	PoliGraph: Arguing for and against public pre-K	May 22, 2015, 2:00 PM	None
6	As a member of the Army National Guard for 24 years, 1st District U.S. Rep. Tim Walz, D-Minn., has long made veterans issues his issues. So, at first blush it’s perplexing that he voted against a Republican-backed Veterans Affairs funding bill that, among other things, increased funding for the department. The National Republican Congressional Committee took note, sending an email to reporters in Minnesota saying that Walz voted against the VA funding bill that included a “more than $68 billion – a 6 percent increase from last year – in funding for VA Health Care Programs, VA medical centers…disability payments and other vital services.” Walz did vote against the bill. But there’s a lot more to the story.  	FALSE	https://blogs.mprnews.org/capitol-view/2015/05/poligraph-nrccs-walz-claim-leaves-out-details/	None	None	None	Catharine Richert	None	PoliGraph: NRCC’s Walz claim leaves out details	May 8, 2015, 2:19 PM	None
7	For some Minnesota poultry farmers this year’s massive avian flu outbreak is  the worst they’ve ever seen. Nearly 3.8 million birds have died from the virus or were killed to prevent it from spreading. It’s hit the state’s $800 million turkey farming industry the hardest. In the midst of the crisis, legislators have discussed emergency funding to help poultry farmers deal with the outbreak, and have made a point to promote consumption of Minnesota turkeys. But one DFL legislator took to the House floor to give a bizarre speech about why he’s worried about the risk of humans getting avian flu. Rep. Ron Erhardt, DFL-Edina said that after eating turkey over the weekend “he was all flu-ed out” and referred to eating turkeys as “possible poison,” saying that there has been transference of avian flu to humans in the past. Erhardt’s statements imply people can get avian flu from eating poultry, and that’s not true. 	FALSE	https://blogs.mprnews.org/capitol-view/2015/05/poligraph-erhardts-bird-flu-claims-are-false/	None	None	None	Catharine Richert	None	PoliGraph: Erhardt’s bird flu claim is false	May 6, 2015, 2:28 PM	None
8	A key piece of the budget proposal from Republicans in the Minnesota House is a bill to fund health and human services. It cuts more than $1 billion in spending, effectively allowing the GOP to cut taxes by $2 billion. The proposal has been controversial among Democrats, in part because $500 million of the savings come from ending MinnesotaCare, a health insurance program for the working poor. Democrats are also pointing to another cut in the bill that they contend amounts to a budget gimmick.  They say the plan’s projected $300 million in savings from eliminating waste and fraud from Medicaid and other public programs would actually yield much less – around $16.5 million –which they say would leave a $283 million hole in the GOP budget for the coming biennium. The DFL gets this right. 	accurate	https://blogs.mprnews.org/capitol-view/2015/05/poligraph-dfl-correct-about-hhs-budget-hole/	None	None	None	Catharine Richert	None	PoliGraph: DFL correct about HHS budget ‘hole’	May 1, 2015, 2:00 PM	None
9	During a state House debate on a jobs and energy bill this week, Democrats offered an amendment that would put the Legislature on record saying that climate change is real and that humans are causing it.  Late in the debate, House Minority Leader Paul Thissen, DFL-Minneapolis, quizzed a number of Republican representatives on their views on climate change. Among them was Rep. Glen Gruenhagen, R-Glencoe, who has said in the past that he’s skeptical climate change is real. Thissen asked him if he thinks climate change is caused by human activity. “I believe there are eminently qualified scientists who would disagree [that climate change is caused by human activity], and I agree with those scientists,” Gruenhagen said. Gruenhagen has a right to his opinion, but his comments – and comments made by other Legislators during the debate – suggest the scientific community is divided on the topic. That’s not true. 	FALSE	https://blogs.mprnews.org/capitol-view/2015/04/poligraph-gruenhagen-climate-claim-doesnt-hold-up/	None	None	None	Catharine Richert	None	PoliGraph: Gruenhagen climate claim doesn’t hold up	April 24, 2015, 2:00 PM	None
