ClaimID	Claim	Label	ClaimUrl	Reason	Categories	Speaker	Checker	Tags	Article Title	PublishDate	ClaimDate
1_1	We are not under the thumb of international law. We can terminate a treaty that we entered into at any time […] Switzerland can cancel any contract at any time. If we wanted to, we could even terminate the European Human Rights Convention tomorrow. We just need to meet the notice period.	FALSE	http://www.swissinfo.ch/eng/directdemocracy/true-or-false-_-foreign-judges--initiative--fact-checking-the-parliamentary-debates/44182064	Senator Bischof’s argument that any international treaty could be terminated at any time was so convincing that several other parliamentarians have since repeated his statement. False verdict (swissinfo.ch) There’s a catch, however. In such absolute terms, Bischof’s claim is not accurate. Some international treaties simply cannot be terminated. Although quite rare, they do existexternal link. Above all, there are the UN pacts on economic, social and cultural rights, or more precisely on civil and political rightsexternal link. The catalogue of human rights included in these pacts is similar to the one enshrined in the European Convention on Human Rights (ECHR). The border treaties between Switzerland and neighbouring countries also cannot be terminated, and neither can mandatory international law. The ECHR, on the other hand, can be terminated. Bischof was right in this respect. Switzerland would only have to respect a notice period of six months imposed by the ECHR. Most other treaties signed with other countries also contain cancellation clauses.	DIRECT DEMOCRACY, POLITICS	Pirmin Bischof, Christian Democrats	Sibilla Bondolfi	None	‘Foreign judges’ initiative: fact checking the parliamentary debates	11 June 2018	None
1_2	No other country in the world assumes that international law takes precedence over their country’s constitution.	TRUE	http://www.swissinfo.ch/eng/directdemocracy/true-or-false-_-foreign-judges--initiative--fact-checking-the-parliamentary-debates/44182064	Context: The People’s Party uses the comparison between Switzerland and other countries to support its argument that the initiative would simply implement what was already in place elsewhere. But opponents argue that such comparisons are short-sighted and misleading. True or false? True (swissinfo.ch) The Federal Office for Justice commissioned a report to establish how other states manage the relationship between international and national law. None of the countries studied was found to subscribe to the idea of "mechanically" giving international law precedence. In this respect, Vogt is right. But there is one exception. EU law takes precedence over national law in member states. Kurt Fluri of the Radical-Liberals argues: “All EU member states have to comply with EU law, even if they were to rule differently under their national laws.” This is trueexternal link. However, EU law is a special case, as the EU is a union of states, or a hybrid between a state and a confederation of states. The more such a union resembles a state, the less sovereignty the individual countries have. This is very similar to Switzerland’s federal system, whereby federal law takes priority over cantonal law.	DIRECT DEMOCRACY, POLITICS	Hans-Ueli Vogt, Swiss People’s Party	Sibilla Bondolfi	None	‘Foreign judges’ initiative: fact checking the parliamentary debates	11 June 2018	None
1_3	Thanks to the ECHR and the pressure it imposed, voting rights for women were introduced, asbestos victims were compensated, and administrative detention was abolished, for example.	TRUE	http://www.swissinfo.ch/eng/directdemocracy/true-or-false-_-foreign-judges--initiative--fact-checking-the-parliamentary-debates/44182064	Context: Opponents have repeatedly drawn attention to the importance of the ECHR for Switzerland, believing that if the initiative were adopted, the country would have to abandon the human rights treaty. Voting Rights for Women Switzerland was one of the last countries in western Europe to ratify the ECHR, as some aspects of the Swiss Constitution were not in line with human rights. The fact that only men had the right to vote was one of them, since it violated the ban on discrimination. In 1968, the Federal Council envisaged signing the ECHR but required a special provision regarding voting rights for women. Women’s associations were up in arms. In an effort to appease them, the government launched an initiative for women's suffrage, which was accepted by national vote in 1971. The ECHR was finally signed in 1974. True (swissinfo.ch) Asbestos victims Compensation claims for bodily harm and death in Switzerland become null and void after ten years. Since the health effects triggered by asbestos are often only diagnosed years or even decades after exposure, the comparatively short period for requesting compensation is problematic. One victim suffering from asbestos-related injury took his case to the European Court of Human Rights, which ruledexternal link that in view of the severe damage to the victim’s health, the 10-year-limitation was disproportionate. After several tough debates, the Swiss parliament agreed to extend the limitation period to 20 years. Administrative detention Until the 1980s, Swiss authorities did not only lock away criminalsexternal link but also detained men and women whose lifestyles were considered immoral by the day's standards: single mothers, prostitutes, alcoholics, drug addicts and others. With no right of appeal, these groups were unable to fight their detention. Only after the ECHR was adopted were they granted access to procedural law. Nowadays, no person can be randomly detained.	DIRECT DEMOCRACY, POLITICS	Nadine Masshardt, Social Democratic Party	Sibilla Bondolfi	None	‘Foreign judges’ initiative: fact checking the parliamentary debates	11 June 2018	None
1_4	Developments over the past few years have shown that more and more initiatives are being launched that contradict international law. Then there are strong complaints about the influence of foreign law, providing a reason to launch a people’s initiative.	Unproven	http://www.swissinfo.ch/eng/directdemocracy/true-or-false-_-foreign-judges--initiative--fact-checking-the-parliamentary-debates/44182064	Context: Opponents of the initiative accuse the People’s Party of regularly launching proposals that violate international law. They argue that these initiatives are behind the collision between international and national law. Some opponents also accuse the party of consciously creating such collisions to gain political capitalexternal link. True or false? The Federal Council and some parliamentarians seem to assume that popular initiatives violating international law are a growing problem. In 2013 the government sent proposals for solutions for consultation, prompting one committee to assess whether the apparent difficulties in implementing initiativesexternal link meant reforms to the system were needed. Some – though not all – of the popular initiatives deemed problematic were launched or supported by the People’s Party. For example, the initiative on mass immigration possibly violates the freedom of movement agreement with the EU. The ban on building minarets may not be compatible with freedom of religion or the ban on discrimination. Automatic deportation for certain crimes as stipulated in the deportation initiative was also considered to be in violation of international law. This, however, is not a new phenomenon. In its discussion paperexternal link, the independent think tank foraus states that since the end of the 19th century, several people’s initiatives have been launched that violate basic rights or Switzerland’s international obligations. It gives examples such as the reintroduction of capital punishment in 1879, the ban on ritual slaughter in 1892, the detention of socialists in 1919 and initiatives against foreign overpopulation in the 1970s. But it also notes that some problematic initiativesexternal link have been accepted in recent years. The fact that Swiss law increasingly clashes with international obligations is due not just to People’s Party’s initiatives but to other factors as well. Oliver Diggelmann, professor for international law at Zurich University, thinks that the growing importance of international law in our globalised world increases the likelihood of conflict with domestic law. The People’s Party is certainly not the only party launching initiatives conflicting with international law. One example is the fair pay initiative launched in 2009 by the youth wing of the socialist party that aimed to limit a company's highest salary to no higher than 12 times the lowest salary it paid. The proposal was criticised for being contrary to rights to ownership and economic freedom. Diggelmann also believes that a "more demanding understanding of human rights" over time, for example by the European Court of Human Rights, has increased the likelihood of conflict between domestic and international law. One example is the right to private and family life, which is significant in rulings on expulsions and, in the eyes of the court, means that national regulations infringe on human rights. Unproven verdict (swissinfo.ch) But how clearly can a violation be established as long as there are no court rulings? Law is not an exact science. Many legal experts would have considered a burka ban to be a violation of religious freedom, yet the European court has declared it admissible. For this reason, we too cannot conclusively assess whether more initiatives are being launched that violate international law.	DIRECT DEMOCRACY, POLITICS	Duri Campell, Conservative Democratic Party	Sibilla Bondolfi	None	‘Foreign judges’ initiative: fact checking the parliamentary debates	11 June 2018	None
2_1	The experiences of other European countries such as Denmark and Britain show that countries that integrate what is offered online internationally by casinos – instead of excluding it – can effectively limit the black market (to less than 5% of the whole) and benefit from additional tax revenue for the state.	TRUE	http://www.swissinfo.ch/eng/true-or-false-_gambling-fact-check---closed-switzerland--vs--open-denmark-/44150152	According to a 2016 reportexternal link by management consultants Deloitte, “the [Danish] model is considered successful with a large number of licence holders, and an estimated small amount of illegal gambling. […] Many licence holders contribute to a competitive gambling market with little incentive for gamblers to use illegal sites”. The Danish Gambling Authority could not confirm to swissinfo.ch whether the black market share was less than 5%. In its 2017 annual reportexternal link it says that “the number of suspected violations requiring further evaluation fell between 2016 and 2017, indicating the illegal market in Denmark is still very small”. Data from the gambling authority shows gross revenue from online casinos reached DKK1.8 billion ($283 million) in 2017external link, a marked increase from the DKK870 million they generated in 2012external link, the year the new gambling law came into effect. Online gambling revenue is taxed at 20% by Danish authorities. In Switzerland, the justice ministry says in its Q&A section on the new gambling lawexternal link that more than CHF250 million ($252 million) “flows into the coffers of foreign internet casinos based in offshore locations such as Malta or Gibraltar”, as reported by the University of Bern in a 2015 studyexternal link. The Swiss justice ministry is also quick to point out that it’s not as if anything goes in Denmark.	Society, Business	None	Thomas Stephens	None	Gambling fact-check: ‘closed Switzerland’ vs ‘open Denmark’	29 May 2018	None
2_2	In Denmark, not every foreign provider receives a licence either. So there are also network blockages in Denmark.	TRUE	http://www.swissinfo.ch/eng/true-or-false-_gambling-fact-check---closed-switzerland--vs--open-denmark-/44150152	So said Justice Minister Simonetta Sommaruga on April 28, in response to a questionexternal link from a reader of freesheet 20Minuten, who had said surely there would be even more money for Swiss institutions and social security schemes (some of the beneficiaries of casino tax money), if foreign casinos weren’t shut out of the market – unlike in Denmark. Since 2012 Denmark issues licencesexternal link to online gambling providers regardless of where they are based, if they meet specific requirements. It also has measures in place to block unlicensed sites. In her answer, Sommaruga went on to explain provisions in the proposed law but didn’t answer the question. Had she done so, she would have had to admit that the reader was correct in pointing out the additional revenue foreign casinos would likely generate, as they have in Denmark (see above). The blocking of websites is a sore point with the “No” campaigners, who object to what they consider state censorship of the internet. What’s more, they say on the No campaign websiteexternal link, blockages are pointless:	Society, Business	Justice Minister Simonetta Sommaruga	Thomas Stephens	None	Gambling fact-check: ‘closed Switzerland’ vs ‘open Denmark’	29 May 2018	None
2_3	Network blockages can be bypassed with just a few clicks and are therefore practically useless for blocking foreign [gambling] in Switzerland.	TRUE	http://www.swissinfo.ch/eng/true-or-false-_gambling-fact-check---closed-switzerland--vs--open-denmark-/44150152	Deloitte says one disadvantage of the Danish model is that the “internet-block and payment-block is easy to surpass [sic] for users”. The Swiss justice ministry itself admits thisexternal link but adds blockages won’t be ineffective as a result. It says that “although players can get around the block, most people will stick to it. [...] The stop sign will work like at a building site: it can be ignored, but everyone knows it can be dangerous to do so”. Opponents argue they are not calling for a legal vacuum. Anaïs Grandjean, co-president of the Young Green Liberals, acknowledged in a television debateexternal link on May 9 that Denmark has a site-blocking system, adding:	Society, Business	None	Thomas Stephens	None	Gambling fact-check: ‘closed Switzerland’ vs ‘open Denmark’	29 May 2018	None
2_4	But it almost never uses this because it doesn’t need to.	Misleading	http://www.swissinfo.ch/eng/true-or-false-_gambling-fact-check---closed-switzerland--vs--open-denmark-/44150152	The Danish Gambling Authority told swissinfo.ch that between 2012 and 2017, 25 websites were blocked, of which 13 remain blocked. “Almost never” is open to interpretation, but an additional 24 unauthorised sitesexternal link were blocked on February 6 this year, more than three months before the television debate. Jean-Luc Moner-Banet, CEO of the lottery in French-speaking Switzerland, responding to Grandjean during the television	Society, Business	None	Thomas Stephens	None	Gambling fact-check: ‘closed Switzerland’ vs ‘open Denmark’	29 May 2018	None
2_5	At the end of the day, the Swiss system [being proposed] is very similar to the system in Denmark.	Misleading	http://www.swissinfo.ch/eng/true-or-false-_gambling-fact-check---closed-switzerland--vs--open-denmark-/44150152	As Moner-Banet explained in the debate, foreign casinos will be able to apply for online gambling licences in the next round of bidding, provided they meet requirements set out in the proposed law. But this will not be possible until six years after the law comes into forceexternal link. Foreign providers would then need to obtain a licence through a subsidiary in Switzerland or by acquiring a share in a Swiss casino. No such requirements exist in Denmark, although providers from outside the EU and European Economic Areaexternal link must have a legal representative in Denmark.	Society, Business	Noen	Thomas Stephens	None	Gambling fact-check: ‘closed Switzerland’ vs ‘open Denmark’	29 May 2018	None
3_1	The privileges granted to the SBC make it a quasi-monopolistic company.	Mostly False	http://www.swissinfo.ch/eng/public-broadcasting-debate_fact-check--the-case-for-and-against-licence-fees/43548304	According to the German dictionary Duden, a monopoly is to be understood as a "dominant company" which "is the sole supplier or customer in a market and can therefore dictate prices". The Swiss Broadcasting Corporation (SBC) - swissinfo's parent company - maintains seven out of a total of 20 Swiss TV channels that receive fees from the public purse. It also has 17 radio stations, which is slightly less than half of all the radio stations (40) that receive public funding. On the other hand, market dominance can be seen in terms of its distribution. It is the only provider whose broadcasting area covers the entire country and can thus reach all inhabitants of Switzerland. This not only generates increased influence but also higher advertising revenues. Private TV and radio stations also operate in regional niches for smaller audiences for financial reasons, with corresponding effects on advertising revenues. Guido Keel, head of the Institute for Applied Media Studies in Winterthur, says: "There is indeed little space next to the SBC with a fee distribution of a good CHF1.2 billion to 60 million for private broadcasters. Tagesschau According to Guido Keel, news broadcasts make democracy possible. (Keystone) According to Keel, however, it is problematic to speak of a market in the media. "Journalism is a public good. Its benefits cannot be limited to those who pay for it. Media informs society so that it can participate in democratic and thus state-building processes. This enables the media to create democracy, and those who don't pay for media use will benefit from it." In some regions, especially Graubünden, the SBC even acts as a monopoly breaker. The further the concentration of private media is progressing, the greater the influence of individual media companies in local markets. In western Switzerland, the three largest media account for more than 90% of the market. Fifteen years ago, it was 79%. In German-speaking Switzerland, Tamedia, Ringier and NZZ together account for more than 80%. Fifteen years ago, it was only 56%	Society, Business	Céline Amaudruz	Sandro Lüscher, Stephanie Hess, Larissa M. Bieler, Reto Gysi von Wartburg, Marguerite Meyer, Kai Reusser	None	Fact check: the case for and against licence fees	11 October 2017	None
