claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
None   People can buy alcohol in Dublin with pound sterling and vice versa with euros in Belfast.   With this in mind, we rate this claim MOSTLY FALSE.   http://www.thejournal.ie/factcheck-irish-currency-4262250-Oct2018/   As many people have pointed out, one can’t use either currency interchangeably in both jurisdictions.   None   None   None   None   Factcheck: Can you buy a drink in Dublin with pounds?   Oct 2nd 2018, 6:30 AM   None
None   That partial-birth abortion will be permitted in Ireland and that a foetus can be killed up until it has ‘completely emerged’ from the body of a woman.   We rate this claim by Cherish All The Children as FALSE.   http://www.thejournal.ie/factcheck-abortion-facebook-4256695-Sep2018/   None   None   None   None   None   Factcheck: Is the Health Minister proposing 'partial-birth abortions' in Ireland?   Sep 28th 2018, 6:45 PM   None
None   The claim: Demi Lovato has died following a reported drug overdose in her Hollywood home.   We rate this claim FALSE.   http://www.thejournal.ie/demi-lovato-is-not-dead-4170499-Aug2018/   None   None   None   None   None   FactCheck: Did singer Demi Lovato really pass away in late July?   Aug 9th 2018, 4:43 PM   None
None   Ireland has been deemed one of the most corrupt countries in the western world.   Taking all this into account, we rate this claim as being FALSE.   http://www.thejournal.ie/ireland-factcheck-corruption-4150209-Jul2018/   The initial opinion expressed by the Irish Mirror was that Ireland was the most corrupt nation in the western world. The headline of that piece stressed the fact that the opinion was that of Pat Flanagan however.   None   None   None   None   FactCheck: Is Ireland really the most corrupt nation in the western world?   Jul 28th 2018, 9:00 PM   None
None   The claim: The Sun said that Leo Varadkar “threatened to block British planes flying over his country” as a “tit-for-tat response” if Theresa May cut Irish fishermen’s access to British waters after Brexit.   The Taoiseach was not making a threat on behalf of the Irish government, but was stating the policy of the European Union, of which Ireland is a member state. Therefore we rate this claim FALSE.   http://www.thejournal.ie/factcheck-taoiseach-british-planes-irish-skies-4137889-Jul2018/   None   None   None   None   None   FactCheck: Did the Taoiseach threaten to ban British planes from Irish skies?   Jul 20th 2018, 1:18 PM   None
None   None   The facts: The article says that Bråvalla, Sweden’s largest annual music festival, was cancelled after more than 40 girls, many of them minors, reported being sexually assaulted or harassed by “foreign” men” at the festival in 2017.   http://www.thejournal.ie/factcheck-sweden-music-festival-migrant-sex-attacks-4086852-Jun2018/   None   None   None   None   None   FactCheck: Did Sweden shut down a music festival because of attacks carried out by migrants?   Jun 22nd 2018, 6:21 PM   None
None   None   As a result, we rate this claim as FALSE.   http://www.thejournal.ie/factcheck-trump-separations-4078446-Jun2018/   None   None   None   None   None   FactCheck: Is Trump correct that the Democrats passed laws to separate families at the border?   Jun 19th 2018, 5:17 PM   None
None   None   We rate this claim as FALSE.   http://www.thejournal.ie/factcheck-justin-trudeau-eyebrow-disappear-press-conference-4064403-Jun2018/   None   None   None   None   None   FactCheck: Did Justin Trudeau's eyebrow fall off during a press conference?   Jun 11th 2018, 1:33 PM   None
None   Claim: The weather at the start of the State exams is quite often better than average.   Verdict: Partly true. Whilst not being consistent and despite some contrary evidence, a history of good sunshine suggests there is a basis for this.   http://www.thejournal.ie/exam-weather-factcheck-2804814-Jun2018/   None   None   None   None   None   FactCheck: Is 'exam weather' really an Irish climate phenomenon?   Jun 3rd 2018, 10:00 PM   None
None   None   None   http://www.thejournal.ie/eighth-amendment-ref-q-a-3999597-May2018/   None   None   None   None   None   Q&A: The answers to your questions about the Eighth Amendment referendum   May 25th 2018, 10:25 AM   None
None   None   None   http://www.thejournal.ie/qa-hard-cases-ffas-rape-incest-amendment-4028811-May2018/   None   None   None   None   None   Q&A: Can the 'hard cases' be dealt with while still retaining the Eighth Amendment?   May 23rd 2018, 9:30 PM   None
None   None   None   http://www.thejournal.ie/how-many-doctors-support-repeal-4030792-May2018/   None   None   None   None   None   FactFind: How many doctors support repeal?   May 23rd 2018, 6:24 PM   None
None   The claim: “Abortion debate re-opens in Poland after a Down Syndrome baby born alive during an abortion dies unaided screaming for an hour”   The facts: There are two claims in the headline – one that the abortion debate has been reopened in Poland this week, and one that the reason for this is a case of a botched abortion in which a child with Down’s Syndrome remained alive and screaming for an hour after the procedure.   http://www.thejournal.ie/theliberal-poland-abortion-factcheck-4027581-May2018/   None   None   None   None   None   FactCheck: Has the story of a baby born alive during abortion in Poland opened a debate there?   May 22nd 2018, 5:11 PM   None
None   None   Therefore, we rate this claim as FALSE.   http://www.thejournal.ie/factcheck-uk-ireland-abortion-law-4027157-May2018/   None   None   None   None   None   FactCheck: Is Ireland's proposed abortion legislation more extreme than British law?   May 22nd 2018, 12:22 PM   None
