claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
1   Rep. Ateesha Nubbins Introduces Bill Banning Voters Over 60   Fiction!   https://www.truthorfiction.com/ateesha-nubbins-bill-banning-senior-voters/   None   9-11-attack   None   None   None   Rep. Ateesha Nubbins Introduces Bill Banning Voters Over 60   Jul 12, 2018   None
2   Sketchers Lightable Shoes Star Fire, Burn Toddler   Fiction!   https://www.truthorfiction.com/sketchers-lightable-shoes-fire-hazard/   None   9-11-attack   None   None   None   Sketchers Lightable Shoes Star Fire, Burn Toddler   Jul 2, 2018   None
3   Child Trafficking Camp in Tucson Tied to Clinton Foundation   Fiction!   https://www.truthorfiction.com/child-trafficking-camp-in-tucson-tied-to-clinton-foundation-fiction/   None   9-11-attack   None   None   ['clinton foundation', 'conspiracy', 'hillary clinton', 'the clintons']   Child Trafficking Camp in Tucson Tied to Clinton Foundation   Jun 13, 2018   None
4   Pope Francis Orders White Women to Have Children with Muslim Migrants   Fiction!   https://www.truthorfiction.com/pope-francis-orders-white-women-breed-muslims/   None   9-11-attack   None   None   ['christianity', 'immigration', 'international', 'islam', 'pope francis']   Pope Francis Orders White Women to Have Children with Muslim Migrants   Jun 7, 2018   None
5   Nancy Pelosi: Building A Wall Violates the Rights of Illegals   Fiction!   https://www.truthorfiction.com/nancy-pelosi-border-wall-violates-rights-fiction/   None   9-11-attack   None   None   ['california', 'congress', 'donald trump', 'nancy pelosi']   Nancy Pelosi: Building A Border Wall Violates the Rights of Illegals   May 24, 2018   None
6   4Syrian Man With 4 Wives, 23 Kids Gets $360,000 Per Year in Welfare   Truth! & Unproven!   https://www.truthorfiction.com/syrian-man-with-syrian-man-4-wives-22-kids-welfare/   None   9-11-attack   None   None   ['germany', 'immigration', 'refugees']   Syrian Man With 4 Wives, 22 Kids Gets $360,000 Per Year in Welfare   May 15, 2018   None
7   Iran Nuclear Deal Isn’t Legally Binding, Iran Didn’t Sign Nuclear Deal   Misleading!   https://www.truthorfiction.com/iran-nuclear-deal-isnt-legally-binding/   None   9-11-attack   None   None   None   Iran Nuclear Deal Isn’t Legally Binding, Iran Didn’t Sign Nuclear Deal   May 10, 2018   None
8   Sign at U.S.-Mexico Border: Lots of Free Stuff Ahead   Fiction!   https://www.truthorfiction.com/sign-at-u-s-mexico-border-lots-of-free-stuff-ahead-fiction/   None   9-11-attack   None   None   None   Sign at U.S.-Mexico Border: Lots of Free Stuff Ahead   May 2, 2018   None
9   Red Cross Spends 92 Cents of Every Dollar on Salaries   Fiction!   https://www.truthorfiction.com/red-cross-donations-salaries/   None   9-11-attack   None   None   None   Red Cross Spends 92 Cents of Every Dollar on Salaries   Apr 30, 2018   None
10   Mark Zuckerberg Announces He’s Closing Facebook   Fiction!   https://www.truthorfiction.com/mark-zuckerberg-announces-hes-closing-facebook-fiction/   None   9-11-attack   None   None   ['2016 election', 'facebook', 'mark zuckerberg', 'russia', 'satire', 'social media']   Mark Zuckerberg Announces He’s Closing Facebook   Apr 18, 2018   None
11   ‘Mutant’ Tilapia Fish is Unsafe to Eat, Contains Cancer-Causing Dioxin   Mostly Fiction!   https://www.truthorfiction.com/mutant-tilapia-fish-is-unsafe-to-eat-contains-cancer-causing-dioxin-mostly-fiction/   None   9-11-attack   None   None   None   ‘Mutant’ Tilapia Fish is Unsafe to Eat, Contains Cancer-Causing Dioxin   Apr 12, 2018   None
12   Planned Parenthood Calls For Disney Princes Who’s Had an Abortion   Investigation Pending!   https://www.truthorfiction.com/planned-parenthood-calls-for-disney-princes-whos-had-an-abortion/   None   9-11-attack   None   None   ['abortion', 'planned parenthood', 'social media', 'twitter']   Planned Parenthood Calls For Disney Princes Who’s Had an Abortion   Mar 27, 2018   None
13   26(f) Plan Freedom Checks Are Better than Social Security   Mostly Fiction!   https://www.truthorfiction.com/26f-plan-freedom-checks-are-better-than-social-security-mostly-fiction/   None   9-11-attack   None   None   None   26(f) Plan Freedom Checks Are Better than Social Security   Mar 13, 2018   None
14   Seniors Warned About New Medicare Card Scams   Truth!   https://www.truthorfiction.com/seniors-warned-new-medicare-card-scams/   None   9-11-attack   None   None   None   Seniors Warned About New Medicare Card Scams   Feb 28, 2018   None
15   Barack Obama Trying to Become UN Secretary-General   Fiction!   https://www.truthorfiction.com/barack-obama-trying-become-united-nations-secretary-general-fiction/   None   9-11-attack   None   None   None   Barack Obama Trying to Become United Nations Secretary-General   Feb 26, 2018   None
16   Vice President Mike Pence Defends Disgraced Aid Rob Porter With Bible Verse   Fiction!   https://www.truthorfiction.com/vice-president-mike-pence-defends-disgraced-aid-rob-porter-bible-verse-fiction/   None   9-11-attack   None   None   ['donald trump', 'mike pence', 'white house']   Vice President Mike Pence Defends Disgraced Aid Rob Porter With Bible Verse   Feb 13, 2018   None
17   Crayola Bathtub Finger Paint Soap Burns Child’s Hands   Unproven!   https://www.truthorfiction.com/crayola-bathtub-fingerpaint-soap-burns-childs-hands-unproven/   None   9-11-attack   None   None   None   Crayola Bathtub Fingerpaint Soap Burns Child’s Hands   Feb 5, 2018   None
18   Bill and Hillary Clinton’s House Fire Destroys Hard Drives, Servers   Fiction!   https://www.truthorfiction.com/bill-hillary-clintons-house-fire-destroys-hard-drives-servers-fiction/   None   9-11-attack   None   None   ['bill clinton', 'donald trump', 'fbi', 'hillary clinton']   Bill and Hillary Clinton’s House Fire Destroys Hard Drives, Servers   Jan 5, 2018   None
19   Donald Trump Changes “Obama Highway” Back to to “Old Dixie Highway”   Fiction!   https://www.truthorfiction.com/donald-trump-changes-obama-highway-back-old-dixie-highway/   None   9-11-attack   None   None   ['barack obama', 'donald trump', 'florida', 'liberal agenda']   Donald Trump Changes “Obama Highway” Back to to “Old Dixie Highway”   Jan 4, 2018   None
20   7 Women Dead From Inhaling Scents, Perfume Samples Sent by Mail   Fiction!   https://www.truthorfiction.com/7-women-dead-inhaling-scents-perfume-samples-sent-mail/   None   9-11-attack   None   None   ['terrorism', 'war on terror']   7 Women Dead From Inhaling Scents, Perfume Samples Sent by Mail   Dec 28, 2017   None
21   Congress is Getting a $20,000 Raise in 2018, Social Security Payments Going up $2 Per Month –Fiction!   Fiction!   https://www.truthorfiction.com/congress-getting-20000-raise-2018-social-security-going-2-per-month/   None   9-11-attack   None   None   ['congress', 'government spending', 'social security']   Congress is Getting a $20,000 Raise in 2018, Social Security Going up $2 Per Month    Dec 19, 2017   None
