claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
None   Statement: “Almost all homelessness is linked to drugs or alcohol,” El Cajon Mayor Bill Wells said in an Oct. 29 interview with Fox 5 San Diego.   Determination: False   https://www.voiceofsandiego.org/topics/news/fact-check-homelessness-tied-drugs-alcohol/   Analysis: El Cajon has the region’s second-largest number of hepatitis A cases, and city leaders there have redoubled efforts to combat the health crisis recently.   None   None   None   None   Fact Check: Is Most Homelessness Tied to Drugs and Alcohol?   November 9, 2017   None
None   Statement: “The county of San Diego is holding over $100 million in unspent Mental Health Services Act funds,” state Sen. Ben Hueso said at an Oct. 12 press conference where Democrats and labor leaders called on county supervisors to spend more to combat the region’s homelessness and hepatitis A crises.   Determination: True   https://www.voiceofsandiego.org/topics/government/fact-check-100m-mental-health-sitting-bank/   Analysis: Democrats and homeless advocates have long called on the county to invest more of its ample cash in programs to aid San Diegans struggling with homelessness and mental illness.   None   None   None   None   Fact Check: More than $100M for Mental Health Is Sitting in the Bank   November 3, 2017   None
None   Statement: “This district has gone down in enrollment every single year, for I don’t know how many years, and yet we have not reduced the workforce commensurately with that. I mean that’s the reality,” San Diego Unified School District board member Sharon Whitehurst-Payne said at the April 25 board meeting.   Determination: True   https://www.voiceofsandiego.org/topics/education/fact-check-san-diego-unified-has-more-staffers-but-fewer-students/   Analysis: To help cut more than $124 million from next year’s budget, San Diego school leaders planned to let go of roughly 1,000 employees, though district officials said final layoff numbers are still not available.   None   None   None   None   Fact Check: San Diego Unified Has More Staffers but Fewer Students   June 27, 2017   None
None   Statement: The city of San Diego “Lost 1,000 conventions & events in last two years,” due to the lack of a San Diego Convention Center expansion, San Diego Mayor Kevin Faulconer tweeted June 12.   Determination: False   https://www.voiceofsandiego.org/topics/politics/fact-check-san-diego-miss-1000-conventions/   Analysis: The future of the long-delayed waterfront expansion to the San Diego Convention Center almost brightened this week, but was ultimately delayed again when the San Diego City Council declined to set a special election for the mayor’s expansion plan.   None   None   None   None   Fact Check: Did San Diego Miss Out on 1,000 Conventions?   June 16, 2017   None
None   Statement: “California is currently ranked 46th in the nation on per pupil funding, and San Diego Unified is one of many districts across the state facing a spending shortfall for next year,” the school district wrote in an April 20 press release.   Determination: A stretch   https://www.voiceofsandiego.org/topics/education/fact-check-californias-not-blame-district-budget-woes/   Analysis: While grappling with deep budget cuts this year, San Diego Unified School District officials have repeatedly pointed to Sacramento as a cause of the problem. The district now plans to lay off roughly 1,700 employees next school year to balance the budget.   None   None   None   None   Fact Check: California's Not to Blame for District Budget Woes   April 25, 2017   None
None   Statement: “Ricardo Flores Takes Our Money. Doesn’t Show Up For Work.” – A campaign mailer sent by Georgette Gomez attacking her opponent in the City Council District 9 race, Ricardo Flores.   Determination: Misleading   https://www.voiceofsandiego.org/topics/politics/fact-check-ricardo-flores-work-politics-balancing-act/   Analysis: Ricardo Flores is chief of staff to current District 9 Councilwoman Marti Emerald, who is not running for another term. He’s running to replace Emerald and has her endorsement.   None   None   None   None   Fact Check: Ricardo Flores' Work-Politics Balancing Act   November 1, 2016   None
None   ­Statement: “(Measure T) adds up to 4,000 high-density housing units,” the Committee Opposed to Encinitas Measure T wrote in a flier, a similar version of which was presented by former Planning Commissioner Bruce Ehlers at a forum on Oct. 16.   Determination: Misleading   https://www.voiceofsandiego.org/topics/land-use/fact-check-4000-new-homes-encinitas/   Analysis: Encinitas residents will be asked on Election Day to approve Measure T, a series of zoning changes that include higher residential densities, mixed-use development and taller buildings as part of a plan dubbed “At Home in Encinitas.”   None   None   None   None   Fact Check: 4,000 New Homes in Encinitas   October 26, 2016   None
None   Statement: “City Council candidate Georgette Gomez is currently under investigation by the Fair Political Practices Commission for failure to disclose her financial interests, as required by state law.” – A campaign mailer sent by a group opposing District 9 City Council candidate Georgette Gomez called Public Safety Advocates   Determination: Misleading   https://www.voiceofsandiego.org/topics/politics/fact-check-investigation-name/   Analysis: There are watchdog government agencies across the country created to investigate complaints of wrongdoing. They exist for very good reason but, come election time, their work is often exploited by political operatives.   None   None   None   None   Fact Check: An Investigation in Name Only   October 25, 2016   None
None   Statement: “Even more, the initiative would relieve existing obligations at Qualcomm Stadium that are currently paid out of the general fund totaling $15 million per year.” – From the ballot argument in favor of Measure C by Jerry Sanders, Carol Kim, Juan Vargas, Nicholas Segura and John Thomson.   Determination: Misleading   https://www.voiceofsandiego.org/topics/politics/fact-check-pro-chargers-ballot-language-leaves-something-big-out/   Analysis: Whatever you want to say about the Chargers initiative to build a new convadium in downtown San Diego, let this fact be perfectly clear: The city of San Diego loses a ton of money every year on Qualcomm Stadium in Mission Valley.   None   None   None   None   Fact Check: Pro-Chargers Ballot Language Leaves Something Big Out   September 7, 2016   None
None   Statement: “SAN DIEGO COUNTY ROAD REPAIR, TRANSIT, TRAFFIC RELIEF, SAFETY AND WATER QUALITY MEASURE: Shall an ordinance be adopted to: repair roads, deteriorating bridges; relieve congestion; provide every community funds for pothole/street repairs; expand public transit, including improved services for seniors, disabled, students, veterans; reduce polluted runoff; preserve open space to protect water quality/reduce wildfires by enacting, with independent oversight/audits, a 40-year, half-cent local sales tax ($308 million annually) that Sacramento cannot take away?” reads the title and ballot language for Measure A, a countywide measure appearing on the November ballot (emphasis ours).   Determination: A Stretch   https://www.voiceofsandiego.org/topics/land-use/fact-check-will-a-sales-tax-hike-relieve-traffic-congestion/   Analysis: The San Diego Association of Governments hasn’t been shy about touting the benefits county residents will feel if they pass its proposed ballot measure in November. One of the proposal’s major selling points is that the projects the measure would fund will relieve traffic congestion.   None   None   None   None   Fact Check: Will a Sales Tax Hike Relieve Traffic Congestion?   August 23, 2016   None
