claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0	: Have "tens of thousands" of 2016 voters in North Carolina been removed as active voters since the election? If so, what does that mean?	yellow-light	https://www.wral.com/fact-check-were-tens-of-thousands-of-2016-voters-not-verified-/16533541/	None			Mark Binker	fact check, Civitas, elections, voter ID	Fact Check: Were 'tens of thousands' of 2016 voters not verified?	Posted February 18, 2017 Updated July 13	
1	: Do North Carolina prisons use public school students' reading scores to predict future prison construction needs?	red-light	https://www.wral.com/fact-check-do-nc-prisons-use-reading-scores-to-predict-future-growth-/16168069/	None			Kelly Hinchcliffe		Fact Check: Do NC prisons use student reading scores to predict future growth?	Posted October 28, 2016 Updated July 13	
2	: Is it correct to credit or blame Pendleton for giving North Carolina House Bill 2?	red-light	https://www.wral.com/fact-check-is-it-true-that-rep-pendleton-gave-us-hb2-/16049844/	None			Mark Binker	fact check, House Bill 2 (2016), Gary Pendleton, N.C. House Campaigns	Fact Check: Is it true that Rep. Pendleton 'gave us HB2'?	Posted September 27, 2016 Updated July 13	
3	: Despite North Carolina finding itself in court an awful lot, 13 sounded like an overestimate based on the number of lawsuits we've been tracking. Did the legislature pass, and Newton vote for, 13 bills held to be unconstitutional by one court or another?	green-light	https://www.wral.com/fact-check-have-13-gop-backed-laws-been-struck-down-/16041184/	None			Mark Binker	fact check, Council of State Races, Josh Stein, E.S. "Buck" Newton	Fact Check: Have 13 GOP-backed laws been struck down?	Posted September 25, 2016 Updated July 13	
4	: The claim that a sitting state official – and the state's top law enforcement officer to boot – "fought cleanup efforts" is extraordinary. But can McCrory's campaign point to evidence that shows Cooper standing in the way of cleanup efforts?	ridiculously-wrong	https://www.wral.com/fact-check-mccrory-says-cooper-fought-cleanup-of-coal-ash/16019948/	None			Mark Binker	fact check, gubernatorial campaign, coal ash, Pat McCrory, Roy Cooper	Fact Check: McCrory says Cooper 'fought cleanup' of coal ash	Posted September 19, 2016 Updated July 13	
33	: Should "average" investors who see this ad on television at home be worried that their 401(k) or pension fund investments will lose value as a result of the Hagan-backed bill or similar bills?	red-light	https://www.wral.com/fact-check-does-mortgage-industry-bill-cost-average-investors-retirement-savings-/13530785/	None			Mark Binker	fact check, Kay Hagan	Fact Check: Does mortgage industry bill cost 'average investors' retirement savings?	Posted April 1, 2014 Updated July 13	
6	: Has Cooper "fixed the problems at the crime lab?" Is there really no more backlog?	red-light	https://www.wral.com/fact-check-is-it-true-cooper-fixed-the-problems-at-the-crime-lab-/15991330/	None			Mark Binker	fact check, Roy Cooper, SBI, gubernatorial campaign, campaign commercials	Fact Check: Is it true Cooper 'fixed the problems' at the crime lab?	Posted September 8, 2016 Updated July 13	
7	: Will the average North Carolina teacher make $50,000 in the upcoming year?	yellow-light	https://www.wral.com/fact-check-does-average-nc-teacher-really-make-50-000-/15960429/	None			Mark Binker	fact check, teacher pay, Pat McCrory, gubernatorial campaign, N.C. Senate Campaigns	Fact Check: Does average NC teacher really make $50,000?	Posted August 30, 2016 Updated July 13	
8	: Does House Bill 2 threaten the flow federal education funding to North Carolina?	yellow-light	https://www.wral.com/fact-check-does-hb2-threaten-federal-education-funding/15611222/	None			Mark Binker	fact check, ACLU, LGBT	Fact Check: Does HB2 threaten federal education funding?	Posted March 31, 2016 Updated July 13	
32	e question: Does the state's public records law thwart job recruitment generally or the Toyota deal specifically? 	red-light	https://www.wral.com/fact-check-do-public-records-thwart-job-recruitment-/13632227/	None			Mark Binker	fact check, public records	Fact Check: Do public records thwart job recruitment?	Posted May 9, 2014 Updated July 13	
11	: Does, as Brown said, "total dollars spent in education" tell all, or is there more to the story? Does considering inflation and per-pupil spending amount to telling "fairy tales" that have no business in the hard-nose bean counting of the state budget?	red-light	https://www.wral.com/fact-check-senators-debate-education-spending-constant-dollars-fairy-tales/14731177/	None			Mark Binker	fact check, Budget 2015, education, Harry Brown, Josh Stein, Tom Apodaca	Fact Check: Senators debate education spending, constant dollars, fairy tales	Posted June 23, 2015 Updated July 13	
14	: Have other states somehow "followed our lead" on unemployment insurance?   	red-light	https://www.wral.com/fact-check-are-other-states-following-nc-s-lead-on-unemployment-/14341624/	None			Mark Binker	fact check, Pat McCrory, unemployment insurance	Fact Check: Are other states following NC's lead on unemployment?	Posted January 12, 2015 Updated July 13	
