claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1_2	“ Kenya has a workforce of 20 million people.”	mostly-correct	https://africacheck.org/reports/is-top-ruling-jubilee-party-official-right-about-who-is-paying-income-tax-in-kenya/	None	None	None	None	None	Is top ruling Jubilee Party official right about who is paying income tax in Kenya?	2018-10-30 08:29	None
1_3	“Only 3.2 million are in formal employment.”	incorrect	https://africacheck.org/reports/is-top-ruling-jubilee-party-official-right-about-who-is-paying-income-tax-in-kenya/	None	None	None	None	None	Is top ruling Jubilee Party official right about who is paying income tax in Kenya?	2018-10-30 08:29	None
1_4	“Only 3.2 million people actually pay PAYE.”	correct	https://africacheck.org/reports/is-top-ruling-jubilee-party-official-right-about-who-is-paying-income-tax-in-kenya/	None	None	None	None	None	Is top ruling Jubilee Party official right about who is paying income tax in Kenya?	2018-10-30 08:29	None
5_2	“Almost one in 10 teenage deaths in South Africa every year are the result of suicide.”	incorrect	https://africacheck.org/reports/teen-suicide-in-south-africa-getting-the-facts-right-helps-combat-the-problem/	None	None	None	None	None	Teen suicide in South Africa: getting the facts right helps combat the problem	2018-10-23 12:28	None
5_3	“Up [to] 20% of high school learners have tried to take their own lives.”	mostly-correct	https://africacheck.org/reports/teen-suicide-in-south-africa-getting-the-facts-right-helps-combat-the-problem/	None	None	None	None	None	Teen suicide in South Africa: getting the facts right helps combat the problem	2018-10-23 12:28	None
8_2	“At least 2 million people in Nigeria now directly or indirectly depend on artisanal and small-scale mining for their livelihood.”	unproven	https://africacheck.org/reports/digging-up-the-numbers-on-informal-mining-in-nigeria/	None	None	None	None	None	Digging up the numbers on informal mining in Nigeria	2018-10-03 11:09	None
8_3	“ Artisanal and small-scale miners are responsible for 90% of Nigeria’s mineral production”	incorrect	https://africacheck.org/reports/digging-up-the-numbers-on-informal-mining-in-nigeria/	None	None	None	None	None	Digging up the numbers on informal mining in Nigeria	2018-10-03 11:09	None
11_2	“Over 40% of primary school teachers are unqualified”	incorrect	https://africacheck.org/reports/number-of-qualified-primary-school-teachers-and-grade-6-literacy-in-nigeria-higher-than-claimed/	None	None	None	None	None	Number of qualified primary school teachers and grade 6 literacy in Nigeria higher than claimed	2018-09-17 12:00	None
11_3	“50% of grade six pupils cannot read at all”	incorrect	https://africacheck.org/reports/number-of-qualified-primary-school-teachers-and-grade-6-literacy-in-nigeria-higher-than-claimed/	None	None	None	None	None	Number of qualified primary school teachers and grade 6 literacy in Nigeria higher than claimed	2018-09-17 12:00	None
12_2	“In 2002, when the National Rainbow Coalition took over power, Kenya Revenue Authority was collecting close to about KSh600 billion.”	incorrect	https://africacheck.org/reports/tax-revenue-and-development-spend-does-kenyas-majority-leader-get-his-numbers-right/	None	None	None	None	None	Tax revenue & development spend: does Kenya’s majority leader get his numbers right?	2018-09-14 08:30	None
