claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Did government officials in Gujarat pledge to boycott Muslim-owned shops?	None	https://www.altnews.in/did-government-officials-in-gujarat-pledge-to-boycott-muslim-owned-shops/	None	None	None	Jignesh Patel	None	Did government officials in Gujarat pledge to boycott Muslim-owned shops?	2018-11-04T17:17:34+00:00	None
2	The faces behind Facebook page ‘Jay Modiraj’ – A factory of hate and misinformation	None	https://www.altnews.in/the-faces-behind-facebook-page-jay-modiraj-a-factory-of-hate-and-misinformation/	None	None	None	Alt News Desk	None	The faces behind Facebook page ‘Jay Modiraj’ – A factory of hate and misinformation	2018-10-31T21:33:53+00:00	None
3	‘Scorpion on Shiv Linga’ controversy – BJP leaders misquote Shashi Tharoor	None	https://www.altnews.in/scorpion-on-shiv-linga-controversy-bjp-leaders-misquote-shashi-tharoor/	None	None	None	Pooja Chaudhuri	None	‘Scorpion on Shiv Linga’ controversy – BJP leaders misquote Shashi Tharoor	2018-10-30T18:32:21+00:00	None
4	Acid attack on bull by unidentified miscreants given a communal colour by VHP activist	None	https://www.altnews.in/acid-attack-on-bull-by-unidentified-miscreants-given-a-communal-colour-by-vhp-activist/	None	None	None	Pooja Chaudhuri	None	Acid attack on bull by unidentified miscreants given a communal colour by VHP activist	2018-10-30T14:16:53+00:00	None
5	Kerala cop falsely claimed to be CPM worker inciting violence at Sabarimala	None	https://www.altnews.in/kerala-cop-falsely-claimed-to-be-cpm-worker-inciting-violence-at-sabarimala/	None	None	None	Arjun Sidharth	None	Kerala cop falsely claimed to be CPM worker inciting violence at Sabarimala	2018-10-26T17:48:53+00:00	None
6	Fact-check: Did an official Pakistani Defence account retweet Rahul Gandhi’s tweet?	None	https://www.altnews.in/fact-check-did-an-official-pakistani-defence-account-retweet-rahul-gandhis-tweet/	None	None	None	Pooja Chaudhuri	None	Fact-check: Did an official Pakistani Defence account retweet Rahul Gandhi’s tweet?	2018-10-26T16:49:30+00:00	None
7	BJP makes factual errors while ‘fact-checking’ Rahul Gandhi’s tweet on Global Hunger Index	None	https://www.altnews.in/bjp-makes-factual-errors-while-fact-checking-rahul-gandhis-tweet-on-global-hunger-index/	None	None	None	Pooja Chaudhuri	None	BJP makes factual errors while ‘fact-checking’ Rahul Gandhi’s tweet on Global Hunger Index	2018-10-25T20:21:41+00:00	None
8	Did Nehru government scrap currency notes featuring Subhas Chandra Bose?	None	https://www.altnews.in/did-nehru-government-scrap-currency-notes-featuring-subhas-chandra-bose/	None	None	None	Arjun Sidharth	None	Did Nehru government scrap currency notes featuring Subhas Chandra Bose?	2018-10-25T17:49:15+00:00	None
9	Smriti’s Irani’s “blood-soaked sanitary napkin” remark – did the minister fall for social media...	None	https://www.altnews.in/smritis-iranis-blood-soaked-sanitary-napkin-remark-did-the-minister-fall-for-social-media-hoax/	None	None	None	Pooja Chaudhuri	None	Smriti’s Irani’s “blood-soaked sanitary napkin” remark – did the minister fall for social media...	2018-10-24T19:40:32+00:00	None
10	The truth of the letter ‘written’ by Nehru calling Subhas Chandra Bose a ‘war criminal’	None	https://www.altnews.in/the-truth-of-the-letter-written-by-nehru-calling-subhas-chandra-bose-a-war-criminal/	None	None	None	Arjun Sidharth	None	The truth of the letter ‘written’ by Nehru calling Subhas Chandra Bose a ‘war criminal’	2018-10-23T22:05:32+00:00	None
