claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Did PM Modi Reveal His PAN Number On Twitter?: A FactCheck	None	https://www.boomlive.in/did-pm-modi-reveal-his-pan-number-on-twitter-a-factcheck/	None	None	None	None	None	Did PM Modi Reveal His PAN Number On Twitter?: A FactCheck	Oct 25 2018 7:03 pm, Last Updated: Oct 25 2018 7:43 pm	None
2	Did Social Media Rumours Fuel Smriti Irani’s Comment On Sabarimala?	None	https://www.boomlive.in/did-social-media-rumours-fuel-smriti-iranis-comment-on-sabarimala/	None	None	None	None	None	Did Social Media Rumours Fuel Smriti Irani’s Comment On Sabarimala?	Oct 23 2018 10:47 pm, Last Updated: Oct 24 2018 12:52 pm	None
3	Congress’ Facebook Page Disables Sponsored Ad In Pakistan	None	https://www.boomlive.in/congress-facebook-page-disables-sponsored-ad-in-pakistan/	None	None	None	None	None	Congress’ Facebook Page Disables Sponsored Ad In Pakistan	Oct 18 2018 4:20 pm, Last Updated: Oct 18 2018 4:28 pm	None
4	No, Nitin Gadkari Did Not Say ‘We Made False Promises to Win 2014 Elections’	None	https://www.boomlive.in/no-nitin-gadkari-did-not-say-we-made-false-promises-to-win-2014-elections/	None	None	None	None	None	No, Nitin Gadkari Did Not Say ‘We Made False Promises to Win 2014 Elections’	Oct 13 2018 6:15 pm, Last Updated: Oct 14 2018 4:48 pm	None
5	Chilling Video Of Man Pushing Strangers On To London Subway Tracks Goes Viral	None	https://www.boomlive.in/chilling-video-of-man-pushing-strangers-on-to-london-subway-tracks-goes-viral/	None	None	None	None	None	Chilling Video Of Man Pushing Strangers On To London Subway Tracks Goes Viral	Oct 10 2018 2:12 pm, Last Updated: Oct 12 2018 12:05 pm	None
6	CLAIM: A video showing people walking on a strip of land with the sea on either sides is viral on social media with many claiming it is the Ram Setu, a bridge which is said to have been built by Hindu deity Ram to go to Lanka and fight another deity Ravana.	RATING: False	https://www.boomlive.in/video-of-a-sand-bed-at-keralas-ponnani-beach-shared-as-ram-setu-bridge/	FACT: The natural phenomena shown in the viral video is a sand bed created at Ponnani beach in the northern district of Malappuram, Kerala.	None	None	None	None	Video Of A Sand Bed At Kerala’s Ponnani Beach Shared As Ram Setu Bridge	Oct 05 2018 6:57 pm, Last Updated: Oct 05 2018 7:12 pm	None
7	Claim: BJP is fielding a terrorist in Jammu and Kashmir local body elections	None	https://www.boomlive.in/has-bjp-fielded-a-terrorist-in-jk-local-body-elections/	None	None	None	None	None	Has BJP Fielded a Terrorist in J&K Local Body Elections?	Oct 04 2018 4:31 pm, Last Updated: Oct 04 2018 6:43 pm	None
8	CLAIM: A mob attacked a petrol pump in Odisha because petrol prices touched Rs. 100 per litre.	RATING: False	https://www.boomlive.in/was-a-petrol-pump-in-odisha-attacked-because-of-soaring-fuel-prices-a-factcheck/	FACT: The petrol pump in Puri was vandalised over allegations that it was cheating customers.	None	None	None	None	Was A Petrol Pump In Odisha Attacked Because Of Soaring Fuel Prices? : A FactCheck	Oct 03 2018 8:26 pm, Last Updated: Oct 03 2018 8:37 pm	None
9	Video Of Activist Trupti Desai Felicitated Being Shared With Misleading Sabarimala Caption	None	https://www.boomlive.in/video-of-activist-trupti-desai-felicitated-being-shared-with-misleading-sabarimala-caption/	None	None	None	None	None	Video Of Activist Trupti Desai Felicitated Being Shared With Misleading Sabarimala Caption	Oct 01 2018 4:46 pm, Last Updated: Oct 01 2018 6:15 pm	None
10	Johnny Depp’s Jack Sparrow Inspired By Krishna? News Sites Repeat Mystery Quote	None	https://www.boomlive.in/was-johnny-depps-jack-sparrow-inspired-by-krishna-news-sites-repeat-mystery-quote/	None	None	None	None	None	Johnny Depp’s Jack Sparrow Inspired By Krishna? News Sites Repeat Mystery Quote	Sep 29 2018 2:58 pm, Last Updated: Sep 29 2018 8:33 pm	None
