claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	FACT CHECK: 3 Claims From Trump's Rally In Ohio	None	http://checkyourfact.com/2018/11/06/fact-check-trump-rally-ohio/	None	None	None	David Sivak | Fact Check Editor	None	None	1:25 PM 11/06/2018	None
2	FACT CHECK: Are The 2018 Midterms The Most Expensive In History?	Verdict: True	http://checkyourfact.com/2018/11/05/fact-check-midterms-most-expensive-history/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	4:56 PM 11/05/2018	None
3	FACT CHECK: Are 1,500 To 1,700 Illegal Immigrants Stopped At The Border Every Day?	Verdict: False	http://checkyourfact.com/2018/11/02/fact-check-1500-illegal-border-crosser-every-day/	None	None	None	Shane Devine | Fact Check Reporter	None	None	6:13 PM 11/02/2018	None
4	FACT CHECK: Paul Ryan Says The House Has Passed A Thousand Bills This Session	Verdict: True	http://checkyourfact.com/2018/11/02/fact-check-paul-ryan-house-1000-bills/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	2:19 PM 11/02/2018	None
5	FACT CHECK: Jake Tapper Says Homelessness Is Up Nearly 50 Percent In Los Angeles Since 2013	Verdict: False	http://checkyourfact.com/2018/11/02/fact-check-homeless-50-percent-los-angeles/	None	None	None	Shane Devine | Fact Check Reporter	None	None	10:46 AM 11/02/2018	None
6	FACT CHECK: Can Trump End Birthright Citizenship With An Executive Order?	Verdict: Unsubstantiated	http://checkyourfact.com/2018/11/01/fact-check-trump-birthright-citizenship-executive-order/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	4:43 PM 11/01/2018	None
7	FACT CHECK: 3 Claims From Trump's Rally In Florida	None	http://checkyourfact.com/2018/11/01/fact-check-trump-rally-florida/	None	None	None	David Sivak | Fact Check Editor	None	None	10:08 AM 11/01/2018	None
8	FACT CHECK: Is The US The Only Country With Birthright Citizenship?	Verdict: False	http://checkyourfact.com/2018/10/31/fact-check-us-birthright-citizenship/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	4:43 PM 10/31/2018	None
9	FACT CHECK: Did Acts Of Anti-Semitism Increase More Than 50 Percent In 2017?	Verdict: True	http://checkyourfact.com/2018/10/30/fact-check-anti-semitism-50-percent-2017/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	5:55 PM 10/30/2018	None
10	FACT CHECK: Did Trump Earn An 'Overwhelming Majority' Of The Vote In 2016?	Verdict: False	http://checkyourfact.com/2018/10/30/fact-check-trump-overwhelming-majority-2016/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	9:32 AM 10/30/2018	None
11	FACT CHECK: Does Russia Kill Journalists 'Every Day?'	Verdict: False	http://checkyourfact.com/2018/10/29/fact-check-russia-journalists-killed-every-day/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	3:02 PM 10/29/2018	None
12	FACT CHECK: Here's Where Wisconsin Ranks This Year For Manufacturing Job Creation	Verdict: True	http://checkyourfact.com/2018/10/28/fact-check-wisconsin-scott-walker-manufacturing-jobs/	None	None	None	Shane Devine | Fact Check Reporter	None	None	10:50 PM 10/28/2018	None
13	FACT CHECK: Charlie Kirk Says Hungary Built A Border Wall And Illegal Immigration 'Collapsed' - Is That True?	Verdict: True	http://checkyourfact.com/2018/10/28/fact-check-hungary-99-percent-border-wall/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	4:33 PM 10/28/2018	None
14	FACT CHECK: Is Alleged Bomber Cesar Sayoc A Registered Democrat?	Verdict: False	http://checkyourfact.com/2018/10/28/fact-check-cesar-sayoc-registered-democrat/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	9:20 AM 10/28/2018	None
15	FACT CHECK: Andrew Cuomo Said The First Terror Attack In New York City Was In 1993, But There Were Many Before Then	Verdict: False	http://checkyourfact.com/2018/10/26/fact-check-andrew-cuomo-first-terror-attack-new-york-city-1993/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	4:53 PM 10/26/2018	None
16	FACT CHECK: Trump Flew To Wisconsin For A Rally - Here Are 3 Checks On His Claims	None	http://checkyourfact.com/2018/10/25/fact-check-trump-rally-wisconsin/	None	None	None	David Sivak | Fact Check Editor	None	None	3:04 PM 10/25/2018	None
17	FACT CHECK: Newt Gingrich Said That 179 Million Latin Americans Want To Migrate To The US - Is That True?	Verdict: False	http://checkyourfact.com/2018/10/25/fact-check-179-million-latin-americans-migrate-us/	None	None	None	David Sivak | Fact Check Editor	None	None	9:07 AM 10/25/2018	None
18	FACT CHECK: Do Saudi Arabia And Its Allies Spend 8 Times More Than Iran Militarily?	Verdict: True	http://checkyourfact.com/2018/10/24/fact-check-saudi-arabia-allies-iran-8-times-military/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	2:32 PM 10/24/2018	None
19	FACT CHECK: Trump Flew To Texas To Hold A Rally For Ted Cruz - Here Are 3 Checks On Their Claims	None	http://checkyourfact.com/2018/10/23/fact-check-trump-texas-rally/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	2:22 PM 10/23/2018	None
20	FACT CHECK: Trump Says He Has No Financial Interests In Saudi Arabia - Is That True?	Verdict: True	http://checkyourfact.com/2018/10/23/fact-check-trump-financial-interests-saudi-arabia/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	10:01 AM 10/23/2018	None
21	FACT CHECK: Do Only 9 Percent Of Oil Imports Come From Saudi Arabia?	Verdict: True	http://checkyourfact.com/2018/10/21/fact-check-do-only-9-percent-of-oil-imports-come-from-saudi-arabia/	None	None	None	Shane Devine | Fact Check Reporter	None	None	5:39 PM 10/21/2018	None
22	FACT CHECK: Trump Flew To Montana For A Rally - Here Are 3 Checks On His Claims	None	http://checkyourfact.com/2018/10/19/fact-check-trump-rally-montana/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	6:00 PM 10/19/2018	None
23	FACT CHECK: Does Elizabeth Warren Have Less Native American DNA Than The Typical White American?	Verdict: False	http://checkyourfact.com/2018/10/19/fact-check-elizabeth-warren-native-american-dna-white/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	4:57 PM 10/19/2018	None
24	FACT CHECK: How Many Journalists Have Been Killed In 2018?	Verdict: True	http://checkyourfact.com/2018/10/19/fact-check-journalists-killed-2018/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	11:14 AM 10/19/2018	None
25	FACT CHECK: Do Whites Make Up The Largest Share Of Food Stamps, Medicaid Recipients?	Verdict: True	http://checkyourfact.com/2018/10/18/fact-check-whites-medicaid-food-stamps/	None	None	None	Shane Devine | Fact Check Reporter	None	None	2:08 PM 10/18/2018	None
26	FACT CHECK: Has Global Approval Of The US 'Plummeted' Under Trump?	Verdict: True	http://checkyourfact.com/2018/10/17/fact-check-global-approval-us-trump/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	2:33 PM 10/17/2018	None
27	FACT CHECK: Trump Says Median Household Income Has Reached An All-Time High	Verdict: True	http://checkyourfact.com/2018/10/16/fact-check-median-household-income-record-high/	None	None	None	Brad Sylvester | Fact Check Reporter	None	None	5:51 PM 10/16/2018	None
28	FACT CHECK: Did Beto O’Rourke Raise More In A Single Quarter Than Jeb Bush’s Entire Presidential Campaign?	Verdict: True	http://checkyourfact.com/2018/10/15/fact-check-beto-orourke-jeb-bush-campaign/	None	None	None	Emily Larsen | Fact Check Reporter	None	None	10:42 PM 10/15/2018	None
