claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0	The rate of warming according to the data is much slower than the models used by the IPCC	Inaccurate	https://climatefeedback.org/claimreview/on-bbc-newsnight-myron-ebell-falsely-claims-climate-models-exaggerate-warming/	None	None	None	None	None	On BBC Newsnight, Myron Ebell falsely claims climate models exaggerate warming	[' BBC, 8 Oct. 2018 \xa0 ']	None
1	there is no relationship between temperature and carbon dioxide emissions by ­humans[...] carbon dioxide has had a minuscule effect on global climate	Incorrect	https://climatefeedback.org/claimreview/ian-plimer-wrongly-claims-that-carbon-dioxide-emissions-do-not-cause-climate-change/	None	None	None	None	None	Ian Plimer wrongly claims that carbon dioxide emissions do not cause climate change	[' The Australian, 7 Aug. 2018 \xa0 ']	None
2	The ­atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.	Misleading	https://climatefeedback.org/claimreview/ian-plimers-op-ed-incorrectly-claims-human-caused-emissions-are-short-lived/	None	None	None	None	None	Ian Plimer incorrectly claims human-caused emissions are short-lived	[' The Australian, 7 Aug. 2018 \xa0 ']	None
3	California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.	Inaccurate	https://climatefeedback.org/claimreview/president-trumps-claim-that-water-supply-policy-has-worsened-california-wildfires-is-baseless/	None	None	None	None	None	President Trump’s claim that water supply policy has worsened California wildfires is baseless	[' Twitter, 5 Aug. 2018 \xa0 ']	None
4	Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2	Incorrect	https://climatefeedback.org/claimreview/fred-singer-incorrectly-claims-sea-level-rise-is-not-caused-by-climate-change/	None	None	None	None	None	Fred Singer incorrectly claims sea level rise is not caused by climate change	[' The Wall Street Journal, 15 May 2018 \xa0 ']	None
5	There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.	Inaccurate	https://climatefeedback.org/claimreview/rush-limbaugh-falsely-claims-there-is-no-evidence-of-human-caused-global-warming/	None	None	None	None	None	Rush Limbaugh falsely claims there is no evidence of human-caused global warming	[' The Rush Limbaugh Show, 2 April 2018 \xa0 ']	None
6	NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.	Unsupported	https://climatefeedback.org/claimreview/breitbart-repeats-bloggers-unsupported-claim-noaa-manipulates-data-exaggerate-warming/	None	None	None	None	None	Breitbart repeats blogger’s unsupported claim that NOAA manipulates data to exaggerate warming	[' Breitbart, 20 Feb. 2018 \xa0 ']	None
7	We know that humans have most flourished during times of, what, warming trends. I think there are assumptions made that because the climate is warming, that that is necessarily a bad thing.	Unsupported	https://climatefeedback.org/claimreview/epas-scott-pruitt-incorrectly-suggests-climate-change-might-not-bad-thing/	None	None	None	None	None	EPA’s Scott Pruitt incorrectly suggests climate change might not be “a bad thing”	[' KSNV NBC Las Vegas, 6 Feb. 2018 \xa0 ']	None
8	The ice caps were going to melt. They were going to be gone by now, but now they're setting records	Inaccurate	https://climatefeedback.org/claimreview/president-trumps-claim-growing-ice-not-reflect-reality/	None	None	None	None	None	President Trump’s claim of growing ice does not reflect reality	[' ITV, 28 Jan. 2018 \xa0 ']	None
9	the real atmosphere is less sensitive to CO2 than what has been forecast by climate models	Incorrect	https://climatefeedback.org/claimreview/prof-john-christy-incorrectly-claims-to-show-climate-models-are-too-sensitive-to-carbon-dioxide/	None	None	None	None	None	Prof. John Christy incorrectly claims to show climate models are too sensitive to carbon dioxide	[' The Daily Caller, 29 Nov. 2017 \xa0 ']	None
