claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	CLAIM: Pet owners travelling from Northern Ireland to Ireland require “EU pet passports”.	CONCLUSION: True. This includes your pet being marked by a transponder (microchip) and vaccinated against rabies. There are presently no border checks for pets (as official policy); however it is uncertain what regulations will apply post-Brexit.	https://factcheckni.org/facts/do-northern-ireland-pets-need-passports-for-ireland/	None	brexit	None	None	None	Do Northern Ireland pets need passports for Ireland?	None	None
2	CLAIM: There are 208 border crossings between Ireland and Northern Ireland.	CONCLUSION: Unproven. It is extremely difficult to accurately establish the exact number of border crossings, as many informal routes have been established since border infrastructure was removed and many are on private land, but the official number of main routes so far identified by the Irish and Northern Ireland governments is 208.	https://factcheckni.org/facts/are-there-208-ireland-northern-ireland-border-crossings/	None	brexit	None	None	None	Are there 208 Ireland-Northern Ireland border crossings?	None	None
3	CLAIM: 60% of sales from Northern Ireland go to Great Britain.	CONCLUSION: Accurate; however the true figure is closer to 56%.	https://factcheckni.org/facts/does-northern-ireland-sell-60-of-its-goods-to-great-britain/	None	brexit	None	None	None	Does Northern Ireland sell 60% of its goods to Great Britain?	None	None
4	CLAIM: 30,000 people cross Ireland-Northern Ireland border daily.	CONCLUSION: Accurate. Indeed, this may be a low estimation, excluding train and other road journeys.	https://factcheckni.org/facts/do-30000-people-cross-ireland-northern-ireland-border-daily/	None	brexit	None	None	None	Do 30,000 people cross Ireland-Northern Ireland border daily?	None	None
5	CLAIM: The voting results from Northern Ireland of the EU referendum compels the Secretary of State for Northern Ireland to call a border boll.	CONCLUSION: False. The Secretary of State may bring forth a border poll when presented with evidence that a majority of electors may choose to change the constitutional status of Northern Ireland. There has been no evidence yet published.	https://factcheckni.org/facts/must-the-sos-call-a-post-brexit-border-poll/	None	brexit	None	None	None	Must the SoS call a post-Brexit border poll?	None	None
6	CLAIM: Over a quarter of a million people migrate to the UK from the EU every year.	CONCLUSION: The claim is true, but it doesn’t include the number of people migrating from the UK to the EU: net migration in 2015 was +184,000. There is no single source that tracks migration to Northern Ireland. Medical card registrations are one method. The 2011 Census showed that 2.16% of the Northern Ireland population held an EU/EEA passport.	https://factcheckni.org/facts/what-is-eu-to-northern-ireland-net-migration/	None	brexit	None	None	None	What is EU to Northern Ireland net migration?	None	None
7	CLAIM: “City Deals” by the UK Government are part of the Democratic Unionist Party’s Confidence and Supply Agreement with the Conservative Party.	CONCLUSION: Unclear. (“False” in an earlier version of this fact check.) The DUP claim that “City Deals are part of our Confidence and Supply Agreement” is not explicitly referenced in the text of the Confidence and Supply Agreement they made with the Conservative Party, nor referenced by the Chancellor Philip Hammond in delivering his “Financial Statement” (29/10/2018). But as part of discussions between the Conservative Party and the DUP, the UK Government committed itself to working with the Northern Ireland Executive and other stakeholders towards city deals in Northern Ireland. The Belfast Regional City Deal was negotiated and agreed among Belfast City Council, the Secretary of State for Northern Ireland, and the UK Government.	https://factcheckni.org/facts/were-city-deals-part-of-dups-confidence-and-supply-agreement/	None	economy	None	None	None	Were “City Deals” part of DUP’s Confidence and Supply Agreement?	None	None
8	CLAIM: There are 100,000 adults in Northern Ireland who have no home.	CONCLUSION: Misleading headline from estimated data. The figure is based on estimations of incomplete data and does not distinguish between statutory and “potential hidden homeless”. The majority of the estimated latter represent non-dependent (adult) children living in the parental household. More accurate data may come from collection by the Northern Ireland Housing Executive or independent research.	https://factcheckni.org/facts/are-there-100000-adults-in-northern-ireland-with-no-home/	None	economy	None	None	None	Are there 100,000 adults in Northern Ireland with no home?	None	None
9	CLAIM: There are 12,500 millionaires living in Northern Ireland.	CONCLUSION: Unproven. The information published by Barclays Wealth & Investments contains proprietary data and cannot be checked. There is also a lack of official data on wealth in Northern Ireland.	https://factcheckni.org/facts/are-there-12500-millionaires-living-in-northern-ireland/	None	economy	None	None	None	Are there 12,500 millionaires living in Northern Ireland?	None	None
11	CLAIM: All taxis can use bus lanes in many cities in Ireland and the UK.	CONCLUSION: Partly accurate. True in Ireland, but most UK cities only allow public taxis access, not private-hire cars.	https://factcheckni.org/facts/are-all-taxis-allowed-in-bus-lanes/	None	economy	None	None	None	Are all taxis allowed in bus lanes?	None	None
