claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0_2	Claim: Over 3.3 crore students benefitted during 2014-16, with scholarships worth Rs. 7565 crore.	Fact: The total number of beneficiaries during 2014-16 is 6.99 crore and the total amount of central assistance released is Rs. 7050.22 crore. Both the number of beneficiaries & the amount of central assistance hasn’t changed much from the last two years of the UPA government.	https://factly.in/fact-check-has-the-allocation-for-scholarships-of-scs-obcs-increased/	Fact: The total number of beneficiaries during 2014-16 is 6.99 crore and the total amount of central assistance released is Rs. 7050.22 crore. Both the number of beneficiaries & the amount of central assistance hasn’t changed much from the last two years of the UPA government.	None	None	None	None	Fact Check: Has the allocation for Scholarships of SCs/OBCs increased?	None	None
0_3	Claim: Income eligibility has been raised from 44,500 rupees to 2.5 lakh rupees for the pre-metric scholarship for OBCs.	Fact: The income eligibility has indeed been raised from Rs. 44,500 in 2016-17 to Rs. 2,50,000 in 2017-18. Hence, the claim is TRUE.	https://factly.in/fact-check-has-the-allocation-for-scholarships-of-scs-obcs-increased/	Fact: The income eligibility has indeed been raised from Rs. 44,500 in 2016-17 to Rs. 2,50,000 in 2017-18. Hence, the claim is TRUE.	None	None	None	None	Fact Check: Has the allocation for Scholarships of SCs/OBCs increased?	None	None
1	Claim: Income eligibility has been raised from 2 lakh rupees to 2.5 lakh rupees for the pre-metric scholarship for SC students.	Fact: Income eligibility criteria for Pre-Matric Scholarships for Scheduled Castes Students studying in Class IX and X was raised from Rs. 2 Lakh to Rs. 2.5 Lakh. Hence, the claim is TRUE.	https://factly.in/fact-check-has-the-allocation-for-scholarships-of-scs-obcs-increased/	Fact: Income eligibility criteria for Pre-Matric Scholarships for Scheduled Castes Students studying in Class IX and X was raised from Rs. 2 Lakh to Rs. 2.5 Lakh. Hence, the claim is TRUE.	None	None	None	None	Fact Check: Has the allocation for Scholarships of SCs/OBCs increased?	None	None
1_2	Claim: A bank account has been created for every family in just four years.	Fact: 32.99 crore accounts have been opened under PMJDY but it is not possible to verify if each & every family has a bank account. Hence, the claim remains UNVERIFIED.	https://factly.in/fact-checking-government-claims-on-jan-suraksha/	Fact: 32.99 crore accounts have been opened under PMJDY but it is not possible to verify if each & every family has a bank account. Hence, the claim remains UNVERIFIED.	None	None	None	None	Fact Checking Government claims on Jan Suraksha	None	None
1_3	Claim: 31.52 crore Jan Dhan accounts have been opened, equivalent to the population of USA.	Fact: A total of 32.99 crore accounts have been opened under PMJDY till date. The latest population of the USA is 32.88 crores. Hence, the claim is TRUE.	https://factly.in/fact-checking-government-claims-on-jan-suraksha/	Fact: A total of 32.99 crore accounts have been opened under PMJDY till date. The latest population of the USA is 32.88 crores. Hence, the claim is TRUE.	None	None	None	None	Fact Checking Government claims on Jan Suraksha	None	None
1_4	Claim: Social security has been made a nationwide phenomenon with Jan Suraksha	Fact: This is a very subjective claim. However, there have existed similar schemes before 2014 as well. Hence, the claim is MISLEADING.	https://factly.in/fact-checking-government-claims-on-jan-suraksha/	Fact: This is a very subjective claim. However, there have existed similar schemes before 2014 as well. Hence, the claim is MISLEADING.	None	None	None	None	Fact Checking Government claims on Jan Suraksha	None	None
2	Claim: More than 19 crore people have been insured against life and accident risk or ensured pension.	Fact: 5.3 crore people under PMJJBY, 13.5 crore under PMSBY and 1.08 crore people under APY have been covered. Hence, the claim is TRUE.	https://factly.in/fact-checking-government-claims-on-jan-suraksha/	Fact: 5.3 crore people under PMJJBY, 13.5 crore under PMSBY and 1.08 crore people under APY have been covered. Hence, the claim is TRUE.	None	None	None	None	Fact Checking Government claims on Jan Suraksha	None	None
2_2	Claim: FDI equity flow has gone up by 47%.	Fact: The claim is very vague and the available data does not corroborate this number. Hence the claim is FALSE.	https://factly.in/fact-check-has-india-been-attracted-more-fdi-in-the-last-few-years/	Fact: The claim is very vague and the available data does not corroborate this number. Hence the claim is FALSE.	None	None	None	None	Fact Check: Has India attracted more FDI in the last few years?	None	None
3	Claim: There has been a rise from 36.05 billion USD in 2013-14 to 60.08 billion USD in 2016-17	Fact: Assuming that the numbers correspond to India’s Gross Foreign Direct Investment, the claim is TRUE. However, India’s net FDI inflows and the FDI to GDP ratio have decreased in the last two years	https://factly.in/fact-check-has-india-been-attracted-more-fdi-in-the-last-few-years/	Fact: Assuming that the numbers correspond to India’s Gross Foreign Direct Investment, the claim is TRUE. However, India’s net FDI inflows and the FDI to GDP ratio have decreased in the last two years	None	None	None	None	Fact Check: Has India attracted more FDI in the last few years?	None	None
3_2	Claim: India is the world number one in attracting Greenfield FDI.	Fact: As per the fDi intelligence, India was the highest ranked country in attracting Greenfield FDI in 2015 & 2016. However, in 2017, India was replaced by USA for the top spot. Hence the claim is only PARTLY TRUE.	https://factly.in/fact-checking-claims-on-indias-global-standing-in-fdi-inflows/	Fact: As per the fDi intelligence, India was the highest ranked country in attracting Greenfield FDI in 2015 & 2016. However, in 2017, India was replaced by USA for the top spot. Hence the claim is only PARTLY TRUE.	None	None	None	None	Fact Checking claims on India’s global standing in FDI inflows	None	None
