claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	 Crime guns are “often stolen or illegally diverted or smuggled in from the United States.”	FactsCan Score: True	http://factscan.ca/bill-blair-crime-guns/	While the data on this topic is limited and somewhat flawed, experts agree that historically, most crime guns in Canada have arrived unlawfully from the US. Some new reports contradict this view and imply that a higher rate of crime guns are domestically sourced, however, these reports show that domestic crime guns have been illegally diverted (straw purchases), as opposed to being legally owned by the perpetrators.	None	Bill Blair	None	None	None	2018-10-13	July 28, 2018
2	 The Canada Child Benefit has lifted “nearly 300,000 children” out of poverty	FactsCan Score: Misleading	http://factscan.ca/esdc-canada-child-benefit/	The number of children lifted out of poverty by the Canada Child Benefit won’t be known until 2019. The government is still relying on the projected impacts of the CCB and not on survey data.	None	ESDC	None	None	None	2018-10-04	gust 20, 2018
3	 “Canada’s unemployment rate is at its lowest level since the 1970s.”	FactsCan Score: True	http://factscan.ca/justin-trudeau-unemployment-rate-lowest-level/	This is true, but it’s not the first time. Canada’s lowest unemployment rate since the 1970s is 5.8 per cent. Recently, monthly unemployment rates – in December 2017 as well as February-July 2018 – have dipped to 5.8 per cent. Ten years ago and for a shorter period, in October 2007, the rate fell to the same low.	None	Justin Trudeau	None	None	None	2018-09-21	gust 14, 2018
4	 “This government committed to ending fossil fuel subsidies.”	FactsCan Score: Misleading	http://factscan.ca/jagmeet-singh-fossil-fuel-subsidies/	The commitment to end fossil fuel subsidies appears in a 2015 statement by leaders of the Group of 20 countries including Canada under Prime Minister Justin Trudeau, and an earlier G20 statement from a 2009 summit. Implementing the G20 commitment is also in the Liberal election platform from 2015. The commitment, however, is about phasing out fossil fuel subsidies over the medium term to 2025. 	None	Jagmeet Singh	None	None	None	2018-09-13	June 23, 2018
5	 “Tax exemptions given to web giants … cost Canadians nearly $1B every year in lost tax revenue.”	FactsCan Score: Misleading	http://factscan.ca/ndp-tax-exemptions-web-giants/	The “tax exemption” at the center of this check is about the collection of sales taxes. Because tax laws were written before online sales, foreign web companies don’t always have to collect taxes like domestic counterparts do. If collected, those taxes may equal $1 billion or more. However, the claim omits that the taxes in question would be paid by Canadians, and we find that misleading. 	None	NDP	None	None	None	2018-09-03	pril 15, 2018
6	 The Liberals offered “classes for returning terrorists in poetry and podcasting, not to mention cheques for $10 million.”	FactsCan Score: False	http://factscan.ca/pierre-paul-hus-poetry-and-podcasting/	The government does provide funding for at least one program that uses podcasting and poetry to help prevent radicalization. However, the program at issue, developed by Project SOMEONE, is not offered to returning fighters.	None	Pierre Paul-Hus	None	None	None	2018-06-28	 May 11, 2018
7	 “Trudeau’s carbon tax will raise gas prices by 11 cents/litre.”	FactsCan Score: Misleading	http://factscan.ca/andrew-scheer-carbon-tax/	Gas prices are projected to rise by 11 cents per litre by 2022 in provinces and territories without their own carbon pricing systems. However, the federal carbon tax likely won’t apply in BC, Alberta, Ontario, or Quebec. These provinces already have their own carbon pricing systems in place. Gas prices will likely increase a few cents in those provinces in order to align with federal carbon pricing standards, but that increase won’t reach 11 cents. 	None	Andrew Scheer	None	None	None	2018-05-21	arch 29, 2018
8	 “While the unemployment rate might be decreasing, the kinds of new jobs created in Canada are part-time.”	FactsCan Score: Misleading	http://factscan.ca/ndp-part-time-jobs/	The latest job figures show that full-time work is growing more than part-time work in recent months in 2018 and in 2017, compared to the month or year before. There is longer-term and older data that show part-time work has driven total employment growth, but it’s misleading to make a claim about “new jobs” and ignore the latest data.	None	NDP	None	None	None	2018-04-27	None
9	 “Any decision by the B.C. government to limit the flow of bitumen would be outside the province’s jurisdiction.”	FactsCan Score: Misleading	http://factscan.ca/kim-rudd-pipeline-jurisdiction/	The federal government does control interprovincial pipelines. However, provincial governments have shared control of related matters like environmental protection. This means both the federal and provincial governments could potentially impose regulations on a project like the Trans Mountain pipeline expansion. Depending on arguments made by B.C. in an upcoming legal case, there’s at least a chance the courts will find the province has jurisdiction to limit bitumen flow in some capacity. 	None	Kim Rudd	None	None	None	2018-03-30	ruary 9, 2018
10	 “In total, this week’s trip has yielded more than $1 billion in investment between Canada and India.”	FactsCan Score: False	http://factscan.ca/justin-trudeau-1-billion/	The agreements totaling $1 billion did not happen because of Justin Trudeau’s week-long trip to India. Some investment announcements coincided with the trip, but the deals behind the majority of the investment figure were signed or proposed weeks to months before. Plus, attributing long-term investment to a single state visit is shaky logic. 	None	Justin Trudeau	None	None	None	2018-03-11	uary 22, 2018
