claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
4   The UK economy is growing more quickly than any of the other G7 countries.   In 2016, the UK economy seems to have grown faster than any G7 country bar Germany, which grew at essentially the same rate.   https://fullfact.org/economy/uk-still-fastest-growing-g7-economy/   In 2016, the UK economy seems to have grown faster than any G7 country bar Germany, which grew at essentially the same rate.   economy   None   Full Fact team   None   Full Fact - The UK’s independent factchecking charity   19th May 2017   None
5   The top 1% of earners in the UK are paying 28% of the tax burden.   This isn’t correct.  The highest earning 1% in the UK pay an estimated 28% of all income tax – not the total “tax burden”. This is close to a record level, but it isn’t quite the highest percentage ever.   https://fullfact.org/economy/do-top-1-earners-pay-28-tax-burden/   This isn’t correct.  The highest earning 1% in the UK pay an estimated 28% of all income tax – not the total “tax burden”. This is close to a record level, but it isn’t quite the highest percentage ever.   economy   None   Joseph Shuttleworth   None   Full Fact - The UK’s independent factchecking charity   8th Jan 2018   None
7   An extra £1 billion will be invested on mental health spending by 2021.   NHS England says it has committed to spending this much extra on mental health services in 2020/21 from its existing budget, over and above what is spent at the moment. If this is the whole rise in mental health spending in England over the next five years, then the spending will rise more slowly than on other parts of the NHS. If it isn’t, then we’re no closer to knowing how much will be spent on mental health.   https://fullfact.org/health/unanswered-questions-extra-1-billion-mental-health/   NHS England says it has committed to spending this much extra on mental health services in 2020/21 from its existing budget, over and above what is spent at the moment. If this is the whole rise in mental health spending in England over the next five years, then the spending will rise more slowly than on other parts of the NHS. If it isn’t, then we’re no closer to knowing how much will be spent on mental health.   health   None   Laura O'Brien   None   Full Fact - The UK’s independent factchecking charity   23rd Feb 2016   None
10   Tax evasion and tax avoidance costs the government £34 billion a year.   This is wrong, according to the estimates it's using. HMRC estimates that £2.7 billion was lost through tax avoidance and £4.4 billion through tax evasion in 2013/14. £34 billion is the total value of tax that goes uncollected.   https://fullfact.org/economy/tax-avoidance-evasion-uk/   This is wrong, according to the estimates it's using. HMRC estimates that £2.7 billion was lost through tax avoidance and £4.4 billion through tax evasion in 2013/14. £34 billion is the total value of tax that goes uncollected.   economy   None   Full Fact Team   None   Full Fact - The UK’s independent factchecking charity   7th Oct 2016   None
13   1% of the population owns 50% of the wealth of the country   That seems likely to be an overestimate. It may be a reference to estimates for the whole world rather than just the UK.   https://fullfact.org/europe/uk-wealth-1-percent/   That seems likely to be an overestimate. It may be a reference to estimates for the whole world rather than just the UK.   europe   None   Richard Braham   None   Full Fact - The UK’s independent factchecking charity   13th Jan 2017   None
18   EU immigrants pay £1.34 in taxes for every £1 they receive in state assistance   Research has found this for recent immigrants from other EU countries, but counting those who came before 2000 reduces this figure. This is a difficult thing to measure, and other research has different findings.   https://fullfact.org/immigration/do-eu-immigrants-contribute-134-every-1-they-receive/   Research has found this for recent immigrants from other EU countries, but counting those who came before 2000 reduces this figure. This is a difficult thing to measure, and other research has different findings.   immigration   None   Joseph O'Leary   None   Full Fact - The UK’s independent factchecking charity   24th Feb 2016   None
20   For every £1 spent on legal aid, the state saves £6.   This claim has evolved down a chain of several different pieces of research and should be treated with caution. Academics say that we need more research about the savings that spending on legal aid can bring.   https://fullfact.org/law/how-much-money-does-legal-aid-save-country/   This claim has evolved down a chain of several different pieces of research and should be treated with caution. Academics say that we need more research about the savings that spending on legal aid can bring.   law   None   Conor James McKinney   None   Full Fact - The UK’s independent factchecking charity   8th Jan 2016   None
21   Stop and search is achieving a higher arrest rate.   Correct. The arrest rate in England and Wales rose from 8% in 2009/10 to 17% in 2016/17. The number of stop and searches fell from 1.3 million to 300,000 between those years.   https://fullfact.org/crime/stop-and-search-arrest-rate/   Correct. The arrest rate in England and Wales rose from 8% in 2009/10 to 17% in 2016/17. The number of stop and searches fell from 1.3 million to 300,000 between those years.   crime   None   Joël Reland   None   Full Fact - The UK’s independent factchecking charity   20th Apr 2018   None
24   The National Living Wage will cost care homes an extra £1 billion a year by 2020.   Some of this cost could be incurred anyway without the new policy, and the figure rests on a lot of uncertainty. Other estimates even suggest higher costs.   https://fullfact.org/economy/pay-carers-will-national-living-wage-increase-spending-1-billion-year/   Some of this cost could be incurred anyway without the new policy, and the figure rests on a lot of uncertainty. Other estimates even suggest higher costs.   economy   None   Laura O'Brien   None   Full Fact - The UK’s independent factchecking charity   21st Aug 2015   None
33   More people are waiting more than four hours to be seen in A&E since the Conservatives took power.   The number of people waiting four hours in all types of A&E in England in 2015/16 is higher than in 2010/11. More people are going to A&E but the percentage of people seen within four hours has also fallen.   https://fullfact.org/health/a-e-waiting-times-pmqs/   The number of people waiting four hours in all types of A&E in England in 2015/16 is higher than in 2010/11. More people are going to A&E but the percentage of people seen within four hours has also fallen.   health   None   Charlotte Browning   None   Full Fact - The UK’s independent factchecking charity   26th Apr 2017   None
