claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Pink, Lady Gaga Wrote A Madonna Diss Song?	0	https://www.gossipcop.com/pink-lady-gaga-madonna-song-diss/	None	None	None	Gossip Cop Staff	None	Pink, Lady Gaga Wrote A Madonna Diss Song?	1:58 am, November 13, 2018	None
3	Britney Spears Secretly Engaged, Using Surrogate For Third Child?	0	https://www.gossipcop.com/britney-spears-surrogate-engaged-sam-asghari/	None	None	None	Gossip Cop Staff	None	Britney Spears Secretly Engaged, Using Surrogate For Third Child?	5:01 pm, November 12, 2018	None
4	Angelina Jolie Crushing On David Beckham?	0	https://www.gossipcop.com/angelina-jolie-david-beckham-crush-secret-texts/	None	None	None	Andrew Shuster	None	Angelina Jolie Crushing On David Beckham?	3:51 pm, November 12, 2018	None
5	Victoria Beckham Considering Joining Spice Girls Tour, 	0	https://www.gossipcop.com/victoria-beckham-not-considering-spice-girls-tour/	None	None	None	Gossip Cop Staff	None	Victoria Beckham NOT Considering Joining Spice Girls Tour, Despite Report	1:29 pm, November 12, 2018	None
6	Katie Holmes Worried That Suri Is Turning Into Tom Cruise, 	0	https://www.gossipcop.com/katie-holmes-not-worried-that-suri-is-turning-into-tom-cruise-despite-report/	None	None	None	Andrew Shuster	None	Katie Holmes NOT Worried That Suri Is Turning Into Tom Cruise, Despite Report	1:12 pm, November 12, 2018	None
7	Jennifer Aniston Broke Down In Tears After Run-In With Brad Pitt At Restaurant?	0	https://www.gossipcop.com/jennifer-aniston-brad-pitt-restaurant-run-in-tears/	None	None	None	Andrew Shuster	None	Jennifer Aniston Broke Down In Tears After Run-In With Brad Pitt At Restaurant?	12:17 pm, November 12, 2018	None
8	Ariana Grande, Pete Davidson Split Because He Wouldn’t Help Her Brother Frankie Host ‘SNL’?	0	https://www.gossipcop.com/ariana-grande-pete-davidson-split-brother-frankie-host-snl/	None	None	None	Andrew Shuster	None	Ariana Grande, Pete Davidson Split Because He Wouldn’t Help Her Brother Frankie Host ‘SNL’?	11:26 am, November 12, 2018	None
10	Ben Affleck Has Returned To Rehab, 	1	https://www.gossipcop.com/ben-affleck-not-back-rehab-despite-reports/	None	None	None	Gossip Cop Staff	None	Ben Affleck Has NOT Returned To Rehab, Despite Reports	3:04 pm, November 11, 2018	None
11	Demi Lovato Spending Holidays In Rehab?	0	https://www.gossipcop.com/demi-lovato-rehab-holidays-christmas-new-years/	None	None	None	Gossip Cop Staff	None	Demi Lovato Spending Holidays In Rehab?	11:55 am, November 11, 2018	None
12	Courteney Cox Refuses To Marry Johnny McDaid Unless He Signs Prenup?	0	https://www.gossipcop.com/courteney-cox-johnny-mcdaid-prenup-married/	None	None	None	Andrew Shuster	None	Courteney Cox Refuses To Marry Johnny McDaid Unless He Signs Prenup?	11:11 am, November 11, 2018	None
