claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Mangos and Coke Death Warning Hoax	Bogus Warning	http://www.hoax-slayer.net/mangos-and-coke-death-warning-hoax/	None	None	None	Brett M. Christensen	None	Mangos and Coke Death Warning Hoax	June 3, 2016	None
2	No, Consuming Pepsi and Mentos Does NOT Lead to Instant Death From Cyanide Poisoning	Bogus Warning	http://www.hoax-slayer.net/no-consuming-pepsi-and-polo-mentos-does-not-lead-to-instant-death-from-cyanide-poisoning/	None	None	None	Brett M. Christensen	None	No, Consuming Pepsi and Mentos Does NOT Lead to Instant Death From Cyanide Poisoning	May 24, 2016	None
3	Killer ‘Crunches’ Biscuits Warning is a Hoax	Bogus Warning	http://www.hoax-slayer.net/killer-crunches-biscuits-warning-is-a-hoax/	None	None	None	Brett M. Christensen	None	Killer ‘Crunches’ Biscuits Warning is a Hoax	May 19, 2016	None
4	Free Key Chain ‘Detector to Follow u Home’ Hoax Warning	Bogus Warning	http://www.hoax-slayer.net/free-key-chain-detector-to-follow-u-home-hoax-warning/	None	None	None	Brett M. Christensen	None	Free Key Chain ‘Detector to Follow u Home’ Hoax Warning	May 17, 2016	None
5	Useless ‘He/She Arises Between the Comments’ Facebook Hack Warning	Bogus Warning	http://www.hoax-slayer.net/useless-heshe-arises-between-the-comments-facebook-hack-warning/	None	None	None	Brett M. Christensen	None	Useless ‘He/She Arises Between the Comments’ Facebook Hack Warning	May 6, 2016	None
6	‘Tip Off From SAPS’ Hoax Warning	Bogus Warning	http://www.hoax-slayer.net/tip-off-from-saps-hoax-warning/	None	None	None	Brett M. Christensen	None	‘Tip Off From SAPS’ Hoax Warning	March 15, 2016	None
7	Card Cutter Car Robbery Hoax Warning	Bogus Warning	http://www.hoax-slayer.net/card-cutter-car-robbery-hoax-warning/	None	None	None	Brett M. Christensen	None	Card Cutter Car Robbery Hoax Warning	January 25, 2016	None
8	Killer Insect ‘SOS Alert’ Hoax Warning	Bogus Warning	http://www.hoax-slayer.net/killer-insect-sos-alert-hoax-warning/	None	None	None	Brett M. Christensen	None	Killer Insect ‘SOS Alert’ Hoax Warning	January 4, 2016	None
9	‘Satanic Agents Looking for Blood ‘ WhatsApp Warning Hoax	Bogus Warning	http://www.hoax-slayer.net/satanic-agents-looking-for-blood-whatsapp-warning-hoax/	None	None	None	Brett M. Christensen	None	‘Satanic Agents Looking for Blood ‘ WhatsApp Warning Hoax	November 26, 2015	None
10	Bogus Warning – ‘Don’t Use French Flag as Your Profile Picture Because ISIS Will Find You and Kill You’	Bogus Warning	http://www.hoax-slayer.net/bogus-warning-dont-use-french-flag-as-your-profile-picture-because-isis-will-find-you-and-kill-you/	None	None	None	Brett M. Christensen	None	Bogus Warning – ‘Don’t Use French Flag as Your Profile Picture Because ISIS Will Find You and Kill You’	November 18, 2015	None
