claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
0	 "We are moving forward to ensure that we keep ... cannabis out of the hands of young people."	a lot of baloney	https://www.huffingtonpost.ca/2017/05/04/jody-wilson-raybould-pot-plan-baloney-meter_n_16409686.html?utm_hp_ref=ca-baloney-meter	None	None	Justice Minister Jody Wilson-Raybould on May 1	Kristy Kirkup, The Canadian Press	None	Jody Wilson-Raybould's Claim About Pot Plan Contains 'A Lot Of Baloney'	05/04/2017 11:13 EDT	None
2	 "Our plan — to invest in people, to strengthen and grow the middle class, and to build an economy that works for everyone — is working. By this time next year, a typical family of four will be $2,000 better off under our plan." 	a little baloney	https://www.huffingtonpost.ca/2018/09/22/bill-morneau-canada-child-benefit_a_23538210/?utm_hp_ref=ca-baloney-meter	None	None	Finance Minister Bill Morneau.	Mia Rabson	None	Morneau Dishing A 'Little Baloney' With Claim Families Wealthier Under Liberals	09/22/2018 16:27 EDT	None
3	 "The prime minister has broken two promises, two direct promises that put us in this position. One was breaking the promise to renew the environmental assessment process with the (National Energy Board) and secondly a promise to end fossil fuel subsidies. He's broken two promises." 	some baloney	https://www.huffingtonpost.ca/2018/06/01/jagmeet-singh-liberal-environmental-jab-is-some-baloney_a_23448861/?utm_hp_ref=ca-baloney-meter	None	None	Jagmeet Singh	None	None	Jagmeet Singh's Liberal Environmental Jab Is 'Some Baloney'	06/01/2018 12:27 EDT	May 23
4	 "An organization that has as its stated goal to remove rights from Canadians, to remove the right that women have fought for to determine what happens to their own bodies, is not in line with where the charter (of Rights) is or where the government of Canada is." 	no baloney	https://www.huffingtonpost.ca/2018/02/08/trudeaus-jab-at-anti-abortion-groups-over-charter-rights-contains-a-lot-of-baloney_a_23356693/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau in an interview with The Canadian Press on Jan. 15.	None	None	Trudeau's Jab At Anti-Abortion Groups Over Charter Rights Contains 'A Lot Of Baloney'	02/08/2018 13:49 EST	None
5	 "The (Canada Child Benefit) means more money for nine out of 10 Canadian families, and it means 300,000 fewer kids living in poverty across this country." 	a lot of baloney	https://www.huffingtonpost.ca/2017/07/27/liberal-claim-about-canada-child-benefit-slashing-child-poverty_a_23052522/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Jordan Press	None	Liberal Claim About Canada Child Benefit Slashing Child Poverty Rates Contains 'A Lot Of Baloney'	07/27/2017 11:52 EDT	None
6	 "We have approved more than 1,200 projects. I would like to tell the member that more than 60 per cent of those projects are currently underway, creating opportunities for Canadians." 	a little baloney	https://www.huffingtonpost.ca/2017/02/09/baloney-meter-have-more-than-60-per-cent-of-infrastructure-projects-begun_n_14656200.html?utm_hp_ref=ca-baloney-meter	None	None	Infrastructure Minister Amarjeet Sohi	Joanna Smith, The Canadian Press	None	Amarjeet Sohi's Claim About Infrastructure Projects Contains 'A Little Baloney'	02/09/2017 09:46 EST	Feb. 7.
7	 "If he (Prime Minister Justin Trudeau) is trying to dismantle universal health care by stealth, this is the way to do it: underfund it and have separate agreements with the provinces." 	a lot of baloney	https://www.huffingtonpost.ca/2017/01/12/lots-of-baloney-in-claims-that-bilateral-health-deals-could-harm-overall-system_n_14129736.html?utm_hp_ref=ca-baloney-meter	None	None	Manitoba Health Minister Kelvin Goertzen	Andy Blatchford, The Canadian Press	None	'A Lot Of Baloney' In Claim That Liberals' Bilateral Health Deals Threaten System	01/12/2017 10:13 EST	2017.
10	 "The (Green party's) resolution process is very different from other parties. Members come up with resolutions independently. Neither the leader nor anyone in the executive of the party can reject resolutions that comply with submission guidelines, nor does the party know ahead of time what resolutions will come forward. This grassroots process is a testament to the democratic values of the party." 	a little baloney	https://www.huffingtonpost.ca/2016/08/11/green-party-bds-elizabeth-may-baloney-meter_n_11455428.html?utm_hp_ref=ca-baloney-meter	None	None	Green party news release	Jim Bronskill, The Canadian Press	None	Green Party BDS Controversy: 'A Little Baloney' In Claim Resolution Process Is 'Very Different'	08/11/2016 01:34 EDT	2016.
12	 "What the Alberta decision makes me fearful of is that we could, without legislation in place on June the 6th, be in an environment where there is no ability for a person to go to a Superior Court judge and get an exemption. That exemption opportunity ends as of June the 6th." 	some baloney	https://www.huffingtonpost.ca/2016/05/26/baloney-meter-will-exemption-opportunity-for-assisted-dying-end-on-june-6_n_10144674.html?utm_hp_ref=ca-baloney-meter	None	None	Justice Minister Jody Wilson-Raybould	Kristy Kirkup, The Canadian Press	None	Jody Wilson-Raybould's Claim On 'Exemption Opportunity' For Assisted Dying Contains Some Baloney	05/26/2016 11:08 EDT	2016.
14	 "We expect the CPPIB, like other Crown corporations, to live up to the highest standards of ethics and behaviour and that is, in fact, exactly what it is doing." 	some baloney	https://www.huffingtonpost.ca/2018/10/18/baloney-meter-morneau-cppib_a_23565098/?utm_hp_ref=ca-baloney-meter	None	None	Finance Minister Bill Morneau during question period Monday in the House of Commons.	Andy Blatchford	None	'Some Baloney' In Bill Morneau Saying Canada Pension Plan Investment Board Has Highest Ethical Standards	10/18/2018 11:49 EDT	None
15	 "We have a supply management system that continues to be very much in place to protect both our agricultural sector and our consumers. This is something that continues. We have made modifications to the way it works, but we also know that it is something that will ensure the viability and the strength of supply management for years to come."	some baloney	https://www.huffingtonpost.ca/2018/10/04/trudeau-baloney-meter-usmca-supply-management_a_23551014/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Lee Berthiaume	None	Trudeau Dishing 'Some Baloney' With Claim USMCA Strengthens Supply Management	10/04/2018 11:18 EDT	but we also know that it is something that will ensure the viability and the strength of supply management for years to come."
16	 "The Liberals are failing Canadians by destroying investment confidence in the energy sector in Canada? The reality is this: that under the Liberals more energy investment has been lost than any other time frame in 70 years, $100 billion of energy projects cancelled.'' 	a little baloney	https://www.huffingtonpost.ca/2018/09/07/baloney-meter-theres-a-little-baloney-in-blaming-liberals-for-losing-100b-in-energy-projects_a_23520051/?utm_hp_ref=ca-baloney-meter	None	None	MP Shannon Stubbs	Teresa Wright	None	Baloney Meter: There's 'A Little Baloney' In Blaming Liberals For Losing $100B In Energy Projects	09/07/2018 09:42 EDT	Sept. 4.
17	 "Trudeau and other politicians must realize the real-life consequences of their words when it comes to immigration. It is not compassionate nor prudent to give these individuals false hope when we know that the majority of the asylum claims before the Immigration and Refugee Board will eventually be rejected.'' 	a lot of baloney	https://www.huffingtonpost.ca/2018/06/29/theres-a-lot-of-baloney-in-michelle-rempels-asylum-seekers-claim_a_23471406/?utm_hp_ref=ca-baloney-meter	None	None	Conservative MP Michelle Rempel.	Teresa Wright	None	There's 'A Lot Of Baloney' In Michelle Rempel's Asylum Seekers Claim	06/30/2018 12:21 EDT	None
18	 "The reasons we set the minimum age of 18 are because we recognize that Canadian youth between the ages of 15 and 24 are among the highest users of cannabis in all developed countries. So we recognized that if we went with a higher age for a minimum age, we would not divert them from getting out of the black market. We wanted to make sure we did all we could because we want to prevent that from happening."	a little baloney	https://www.huffingtonpost.ca/2018/04/19/liberals-pot-youth-baloney-meter_a_23415425/?utm_hp_ref=ca-baloney-meter	None	None	Health Minister Ginette Petitpas Taylor	None	None	Liberals Dishing 'A Little Baloney' With Claim About How Much Young Canadians Love Pot	04/19/2018 11:42 EDT	we would not divert them from getting out of the black market. We wanted to make sure we did all we could because we want to prevent that from happening."
19	 "Mali is a war zone. This is a combat mission and there is no peace to keep."	a lot of baloney	https://www.huffingtonpost.ca/2018/03/22/canada-mali-mission-un-tories-baloney-meter_a_23392548/?utm_hp_ref=ca-baloney-meter	None	None	Conservative defence critic James Bezan	None	None	Tories Dishing 'A Lot Of Baloney' On Canada's Peacekeeping Mission To Mali	03/22/2018 10:11 EDT	None
20	 "The Liberals are putting the safety of all Canadians at risk by allowing (ISIL) fighters to return to Canada and proposing a 'reintegration program' and support services for them." 	a lot of baloney	https://www.huffingtonpost.ca/2017/11/30/conservatives-dishing-a-lot-of-baloney-over-liberal-approach-to-isil-members-returning-to-canada_a_23292889/?utm_hp_ref=ca-baloney-meter	None	None	Conservative deputy leader Lisa Raitt	None	None	Conservatives Dishing 'A Lot Of Baloney' Over Liberal Approach To ISIL Members Returning To Canada	11/30/2017 09:56 EST	None
