claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
2	Are There Really 1.2 Million Mothers on the Free Maternity Programme?	FALSE	https://pesacheck.org/uhurus-maternity-care-promises-exaggerated-2c238a3dfd9b	None	None	None	Leo Mutuku	None	Are There Really 1.2 Million Mothers on the Free Maternity Programme?	Apr 30, 2016	None
5	Governors or MCAs: Who Really Controls The Money?	FALSE	https://pesacheck.org/governors-or-elected-county-assembly-members-who-really-controls-the-money-8238fad5ca4c	None	None	None	Leo Mutuku	None	Governors or MCAs: Who Really Controls The Money?	Aug 1, 2016	None
6	Will Kenya’s Olympic Champs Get a Ksh1 Billion Bonus?	PLAUSIBLE	https://pesacheck.org/will-kenyas-olympic-champs-get-a-ksh1-billion-bonus-216c42809da7	None	None	None	Leo Mutuku	None	Will Kenya’s Olympic Champs Get a Ksh1 Billion Bonus?	Aug 19, 2016	None
8	Has Kenya’s Government Increased Funding to The Health Sector?	TRUE	https://pesacheck.org/is-kenya-increasing-investment-in-health-sector-2fd1155929f0	None	None	None	Leo Mutuku	None	Has Kenya’s Government Increased Funding to The Health Sector?	Sep 20, 2016	None
9	Can The Government Afford To Boost Water Access In Schools?	FALSE	https://pesacheck.org/does-government-have-ksh14-billion-to-boost-water-access-in-schools-e4be27747e75	None	None	None	Leo Mutuku	None	Can The Government Afford To Boost Water Access In Schools?	Oct 12, 2016	None
10	Has Kiambu County Doubled its Revenue to KSh4.7 billion ?	FALSE	https://pesacheck.org/has-kiambu-county-doubled-its-revenue-to-ksh4-7-billion-a9e16bb140f4	None	None	None	Leo Mutuku	None	Has Kiambu County Doubled its Revenue to KSh4.7 billion ?	Nov 22, 2016	None
11	Is Bomet County Withholding Funds for the Elderly?	FALSE	https://pesacheck.org/is-bomet-county-withholding-funds-for-the-elderly-4d2a2b8afa0d	None	None	None	Leo Mutuku	None	Is Bomet County Withholding Funds for the Elderly?	Dec 22, 2016	None
12	Has The Development Equalization Fund Been Scrapped?	TRUE	https://pesacheck.org/are-poor-counties-set-to-lose-the-critical-development-equalization-fund-fc8871501cce	None	None	None	Leo Mutuku	None	Has The Development Equalization Fund Been Scrapped?	Jan 19, 2017	None
14	How Much Money Is Going To The NYS in the Supplementary Budget?	TRUE	https://pesacheck.org/has-the-government-doubled-its-allocation-to-nys-in-the-supplementary-budget-16e0ea6b0230	None	None	None	Leo Mutuku	None	How Much Money Is Going To The NYS in the Supplementary Budget?	Feb 9, 2017	None
15	Is Parliament Denying Senators Access to Oversight Funds?	FALSE	https://pesacheck.org/is-parliament-denying-senators-access-to-oversight-funds-b4fd50f0f7e4	None	None	None	Leo Mutuku	None	Is Parliament Denying Senators Access to Oversight Funds?	Feb 28, 2017	None
16	Is the Zika Virus present in Tanzania?	TRUE	https://pesacheck.org/is-the-zika-virus-present-in-tanzania-54d79ec7be94	None	None	None	Mwegelo Kapinga	None	Is the Zika Virus present in Tanzania?	Mar 30, 2017	None
19	How Much Does It Cost To Run Kenya’s Two Houses of Parliament?	FALSE	https://pesacheck.org/does-it-cost-115-times-more-to-run-two-houses-of-parliament-in-kenya-f68b6c551e1e	None	None	None	Leo Mutuku	None	How Much Does It Cost To Run Kenya’s Two Houses of Parliament?	Mar 16, 2017	None
