claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	It is quicker, online using an app, to order cocaine to your house than to order a pizza. If you’re in Glasgow you can get it delivered to your door quicker than a Dominos.	 Half True	https://theferret.scot/cocaine-pizza-faster-ross-thomson-fact-check/	None	Crime and justice Fact check 	Ross Thomson MP	None	None	Claim you can get cocaine faster than pizza in Glasgow is Half True	October 13, 2018	None
2	If Richard Leonard believes that the Leave campaign, which of course he supported, was also a tissue of lies, and that for that reason they should now go to a third (general election) vote in three years... then Labour has to get behind the democratic views of the people of Scotland.	 False	https://theferret.scot/fact-check-labour-richard-leonard-leave-campaign-brexit/	None	Fact check Politics 	Keith Brown, SNP deputy leader	None	None	Claim Richard Leonard supported the Leave campaign in Brexit vote is False	October 10, 2018	None
3	Claim Scotland spends 10 times more per person on social housing than England is Half True	 Half True	https://theferret.scot/scots-housing-spend-10-times-england-half-true/	None	Fact check Housing and homelessness 	None	None	None	Claim Scotland spends 10 times more per person on social housing than England is Half True	October 4, 2018	None
4	The plans will protect around 8,000 personnel who would otherwise be negatively affected by the income tax hikes	 Mostly True	https://theferret.scot/armed-forces-personnel-scottish-tax-changes/	None	Fact check Politics 	Gavin Williamson, Defence Secretary	None	None	Claim 8,000 armed forces personnel will be affected by Scottish tax changes is Mostly True	September 13, 2018	None
5	“Labour built less than half the number of homes for social rent than they claim. SNP has delivered almost 52,600 homes for social rent, including 9,799 council homes.”	 Mostly True	https://theferret.scot/snp-social-rent-labour/	None	Fact check Housing and homelessness 	SNP, Twitter	None	None	Claim that SNP built more social rent homes than Labour Mostly True	August 29, 2018	None
6	Thankfully, @ScotTories ended the SNP policy that saw our fire service pay VAT – the £10 million saved could pay for an extra 350 firefighters.	 Mostly False	https://theferret.scot/fire-service-paying-vat-snp-policy-mostly-false/	None	Fact check Politics 	Kirstene Hair MP	None	None	Claim that fire service paying VAT was ‘SNP policy’ is Mostly False	August 9, 2018	None
7	Scottish farmers – 60% voted No to Scottish Independence, 60% voted for Brexit, 60% voted Tory, 60% estimated to be declared bankrupt within a decade of Hard Brexit.	 Mostly False	https://theferret.scot/fact-check-scottish-farmers-brexit-conservatives-independence/	None	Fact check 	Social media graphic	None	None	Claim 60 per cent of Scots farmers voted for Brexit, Tories and against independence is Mostly False	July 25, 2018	None
8	“Scotland, the EU's largest oil producer, produces more oil than Dubai & Abu Dhabi combined. Yet No.2 Norway has oil fund of £900Bn?”	 Mostly False	https://theferret.scot/scotland-oil-abu-dhabi-dubai/	None	Fact check Politics 	Jim Torrance/All Under One Banner	None	None	Claim that Scotland produces more oil than Abu Dhabi and Dubai is Mostly False	July 12, 2018	None
9	Claim Syrian refugees linked to sexual crimes increase on island is FFS	 FFS	https://theferret.scot/syrian-refugees-not-linked-sexual-crimes-bute-ffs/	None	Asylum Crime and justice Fact check 	None	None	None	Claim Syrian refugees linked to sexual crimes increase on island is FFS	July 5, 2018	None
10	Claim Scotland’s climate targets are toughest in the world is False	 False	https://theferret.scot/scotlands-climate-targets-toughest-world/	None	Environment Fact check 	None	None	None	Claim Scotland’s climate targets are toughest in the world is False	June 12, 2018	None
11	FFS Explains: the changing benefits system in the UK and Scotland	None	https://theferret.scot/ffs-explains-benefits-system-uk-scotland/	None	Fact check Politics 	None	None	None	FFS Explains: the changing benefits system in the UK and Scotland	June 5, 2018	None
12	Glasgow’s drug-related death rate is “now over 1000 per cent higher than the EU average"	None	https://theferret.scot/glasgow-drug-death-rate-1000-eu/	None	Fact check Politics 	Paul Sweeney MP	None	None	Claim that Glasgow drug death rate is over 1000% higher than EU is Mostly True	May 24, 2018	None
13	Between 2000 and 2013 there were 1.8 race-related murders per million people, compared to 1.3 per million in the rest of the UK	 Mostly True	https://theferret.scot/scotland-race-related-murders/	None	Crime and justice Fact check 	The Scotsman	None	None	Claim that Scotland had higher rate of race-related murders is Mostly True	May 11, 2018	None
14	"An estimated 30 per cent of [UK children] will be born into poverty”.	 True	https://theferret.scot/30-percent-children-uk-born-poverty/	None	Fact check Politics 	Patrick Harvie, Scottish Greens co-convener	None	None	Claim that 30 per cent of children in the UK are born into poverty is True	May 2, 2018	None
15	“If we allow the European fishing fleets to use our waters during this transition period it means that they will have the right to do that in the future.”	 Mostly False	https://theferret.scot/transition-eu-boats-fish-post-brexit/	None	Fact check Politics 	David Coburn MEP	None	None	Claim transition period means EU boats can fish in our waters post-Brexit is Mostly False	April 26, 2018	None
16	Claim youth unemployment lower in Scotland than UK is True	 True	https://theferret.scot/youth-unemployment-scottish-government-fact-check/	None	Employment Fact check Politics 	None	None	None	Claim youth unemployment lower in Scotland than UK is True	April 23, 2018	None
17	Since Police Scotland was established 5 years ago with specialist homicide unit, there have been total of 301 murders in Scotland & every single one of them has been solved	 Half True	https://theferret.scot/murders-2013-solved-police-scotland/	None	Crime and justice Fact check 	Paul Wheelhouse MSP	None	None	Claim that all murders in Scotland since 2013 have been solved is Half True	April 13, 2018	None
18	Ferret Fact Service: a year of fact-checking by the numbers	None	https://theferret.scot/ferret-fact-service-fact-checking-numbers/	None	Fact check Politics 	None	None	None	Ferret Fact Service: a year of fact-checking by the numbers	April 2, 2018	None
19	...the problem with the supply of affordable housing in England is much, much, much larger than Scotland. I find it fascinating that there is no private-sector rental used at all to place people up here – it’s all local authority and housing association, because you have supply.”	 False	https://theferret.scot/scotland-homeless-housing-private-sector/	None	Fact check Housing and homelessness 	Heather Wheeler MP	None	None	Claim that Scotland does not use private accommodation for homeless people is False	March 23, 2018	None
20	Claim on Scotland’s positive trade balance compared to UK nations is Mostly False	 Mostly False	https://theferret.scot/scotland-uk-country-export-import/	None	Fact check Politics 	None	None	None	Claim on Scotland’s positive trade balance compared to UK nations is Mostly False	March 20, 2018	None
21	FFS Explains: The gender pay gap in Scotland	None	https://theferret.scot/ffs-explains-gender-pay-gap-scotland/	None	Employment Fact check Finance 	None	None	None	FFS Explains: The gender pay gap in Scotland	March 14, 2018	None
22	Someone serving in Scotland at the same rank and doing the same job as someone in England will pay more tax if they earn more than just £24,000.	 False	https://theferret.scot/scottish-military-tax-higher-24000-fact-check/	None	Fact check Politics 	Douglas Ross MP	None	None	Claim that military earning over just £24,000 will pay more tax in Scotland is False	March 9, 2018	None
23	Fact check: The SNP in Scotland vs Labour in Wales	None	https://theferret.scot/scottish-government-snp-scotland-labour-welsh-government-wales/	None	Fact check Politics 	None	None	None	Fact check: The SNP in Scotland vs Labour in Wales	March 1, 2018	None
24	FFS explains: EU immigration and Scotland	None	https://theferret.scot/ffs-eu-immigration-scotland/	None	Asylum Fact check Politics 	None	None	None	FFS explains: EU immigration and Scotland	February 28, 2018	None
25	"In Scotland we don't have university tuition fees, so students aren't facing that challenge. Students leave university with their degree, without a huge debt."	None	https://theferret.scot/snp-student-debt-university/	None	Education Fact check 	Joanna Cherry MP	None	None	Claim students do not leave university with “huge debt” is Mostly False	February 22, 2018	None
