claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Are 95% of new workers in UK really foreigners?	None	https://www.theguardian.com/news/reality-check/2016/nov/17/reality-check-new-workers-foreigners-times	None	['Immigration and asylum']	None	Alan Travis	None	Are 95% of new workers in UK really foreigners?	17 November 2016	None
2	How much extra money is the government really giving the NHS?	None	https://www.theguardian.com/society/2016/oct/31/how-much-extra-money-tory-government-really-giving-nhs	None	['Health policy']	None	Denis Campbell	None	How much extra money is the government really giving the NHS?	31 October 2016	None
3	How bad will Brexit be for UK farmers, retailers and consumers?	None	https://www.theguardian.com/news/reality-check/2016/oct/17/how-bad-will-brexit-be-for-uk-farmers-retailers-and-consumers	None	['Farming']	None	Phillip Inman	None	How bad will Brexit be for UK farmers, retailers and consumers?	17 October 2016	None
4	Reality check: are US-led airstrikes on Syrians as bad as Russia's?	None	https://www.theguardian.com/world/reality-check/2016/oct/12/reality-check-are-us-led-airstrikes-on-syrians-as-bad-as-russias	None	['Syria']	None	Emma Graham-Harrison	None	Reality check: are US-led airstrikes on Syrians as bad as Russia's?	12 October 2016	None
5	Reality check: are right-to-buy homes being replaced as promised?	None	https://www.theguardian.com/society/reality-check/2016/sep/07/reality-check-are-right-to-buy-homes-being-replaced	None	['Housing']	None	Hilary Osborne	None	Reality check: are right-to-buy homes being replaced as promised?	7 September 2016	None
6	How much is the government really privatising the NHS?	None	https://www.theguardian.com/society/2016/aug/15/creeping-privatisation-nhs-official-data-owen-smith-outsourcing	None	['NHS']	None	Denis Campbell	None	How much is the government really privatising the NHS?	15 August 2016	None
7	Reality check: study finds no racial bias in police shootings	None	https://www.theguardian.com/news/reality-check/2016/jul/11/study-finds-no-racial-bias-police-shootings-data	None	['New York Times']	None	Mona Chalabi	None	Reality check: study finds no racial bias in police shootings	11 July 2016	None
8	Reality check: Andrea Leadsom's economic vision	Leadsom’s analysis lacks credibility and her plan for the future lacks policies. As a vision, it ranks alongside that of Ukip, with her emphasis on building relations with the Commonwealth, and consumers rejecting foreign-made goods in favour of buying British. A lower currency can bring some benefits, but not if it is a judgment on the strength of the economy. If the UK suffers a recession, that is a more important factor than a fall in the pound. Foreign investors will flee. Some anti-EU economists say good riddance, but just like Leadsom’s “buy British” campaign to help the balance of payments and boost the economy, a shift to higher domestic investment is going to take a long time and will need to reverse more than 30 years of reliance on foreigners. 	https://www.theguardian.com/politics/reality-check/2016/jul/07/reality-check-andrea-leadsom-economic-vision	None	['Andrea Leadsom']	None	Phillip Inman	None	Reality check: Andrea Leadsom's economic vision	7 July 2016	None
9	EU referendum reality check  Why Vote Leave's £350m weekly EU cost claim is wrong	The leave camp might just about have been able to get away with saying that the UK sends £248m a week to Brussels (which at least takes account of the rebate). It can argue all it likes that £350m is a “gross figure”. But it cannot, in all conscience, get away with the use of the word “send”. 	https://www.theguardian.com/politics/reality-check/2016/may/23/does-the-eu-really-cost-the-uk-350m-a-week	None	['EU referendum reality check', 'Politics']	None	Jon Henley	None	EU referendum reality check  Why Vote Leave's £350m weekly EU cost claim is wrong	10 June 2016	None
10	EU referendum reality check  Could Turkey really join the EU by 2020?	None	https://www.theguardian.com/politics/2016/may/22/vote-leave-turkey-warning-ignorance-european-realities	None	['EU referendum reality check', 'Turkey']	None	Simon Tisdall	None	EU referendum reality check  Could Turkey really join the EU by 2020?	22 May 2016	None
11	EU referendum reality check  Will staying in EU really lead to an influx equal to Scottish population?	None	https://www.theguardian.com/politics/reality-check/2016/may/20/staying-in-eu-migration-influx-scottish-population-reality-check	None	['EU referendum reality check', 'Michael Gove']	None	Jennifer Rankin	None	EU referendum reality check  Will staying in EU really lead to an influx equal to Scottish population?	20 May 2016	None
12	EU referendum reality check  Will air fares rise if the UK leaves the EU?	None	https://www.theguardian.com/world/reality-check/2016/may/16/eu-referendum-reality-check-will-air-fares-rise-brexit	None	['EU referendum reality check', 'Business']	None	Gwyn Topham	None	EU referendum reality check  Will air fares rise if the UK leaves the EU?	16 May 2016	None
13	Reality check: are Trump's odds of winning the US election really so slim?	None	https://www.theguardian.com/news/reality-check/2016/may/06/donald-trump-odds-winning-us-election-reality-check	None	['US elections 2016']	None	Mona Chalabi	None	Reality check: are Trump's odds of winning the US election really so slim?	6 May 2016	None
14	Reality check: Clinton might not be the most experienced candidate	None	https://www.theguardian.com/news/reality-check/2016/apr/22/trump-clinton-sanders-cruz-experience-fact-check	None	['Politics']	None	Mona Chalabi	None	Reality check: Clinton might not be the most experienced candidate	22 April 2016	None
15	Fact-checking Bill Clinton's defense of his legacy on crime and poverty	None	https://www.theguardian.com/us-news/reality-check/2016/apr/09/fact-checking-bill-clinton-poverty-crime-legacy	None	['Bill Clinton']	None	Mona Chalabi	None	Fact-checking Bill Clinton's defense of his legacy on crime and poverty	9 April 2016	None
