claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	In an Oct. 18 speech, Duterte slammed critics of the government’s drug war who invoke human rights, saying they do not grasp the extent of corruption in the country’s justice system:	FALSE	http://verafiles.org/articles/vera-files-fact-check-duterte-falsely-claims-eu-created-icc	The EU, an economic and political union of 28 countries, did not create the ICC.	None	None	None	Duterte,ICC,European Union	VERA FILES FACT CHECK: Duterte FALSELY CLAIMS the EU created the ICC	November 01, 2018	None
2	VERA FILES FACT CHECK: Report claiming Robredo and Roxas have left LP NOT TRUE	FAKE	http://verafiles.org/articles/vera-files-fact-check-report-claiming-robredo-and-roxas-have	None	None	None	None	false news	VERA FILES FACT CHECK: Report claiming Robredo and Roxas have left LP NOT TRUE	November 01, 2018	None
3	On Oct. 26, Nicolas posted on Facebook an infographic illustrating the “Foreign Aid Received for Marawi Rehabilitation.” It listed the following countries and multinational bodies and their corresponding grants:	MISLEADING	http://verafiles.org/articles/vera-files-fact-check-ex-cfo-chief-misleads-wrong-figures-ma	Several news reports, government records and statements from embassies of the nations involved show foreign aid for Marawi has not reached “hundreds of millions” and “billions” of US dollars from each of the nations mentioned, contrary to Nicolas’ post.	None	None	None	fact-check,Marawi city crisis,imelda nicolas	VERA FILES FACT CHECK: Ex-CFO chief MISLEADS with wrong figures on Marawi rehab aid	November 01, 2018	None
4	VERA FILES FACT CHECK: Report claiming 'over 10,000 Chinese military' are in Manila FALSE	FALSE	http://verafiles.org/articles/vera-files-fact-check-report-claiming-over-10000-chinese-mil	None	None	None	None	false story	VERA FILES FACT CHECK: Report claiming 'over 10,000 Chinese military' are in Manila FALSE	November 01, 2018	None
5	VERA FILES FACT CHECK: Report claiming Imelda Marcos world's richest female billionaire UNTRUE	FAKE	http://verafiles.org/articles/vera-files-fact-check-report-claiming-imelda-marcos-worlds-r	None	None	None	None	fake news,Imelda Marcos	VERA FILES FACT CHECK: Report claiming Imelda Marcos world's richest female billionaire UNTRUE	October 29, 2018	None
6	VERA FILES FACT CHECK: Online post about Grace Poe's 'million dollar' US home FALSE and OUTDATED	FALSE	http://verafiles.org/articles/vera-files-fact-check-online-post-about-grace-poes-million-d	None	None	None	None	Grace Poe,fake news	VERA FILES FACT CHECK: Online post about Grace Poe's 'million dollar' US home FALSE and OUTDATED	October 29, 2018	None
7	VERA FILES FACT CHECK: MISLEADING 'Bea Alonzo' tweet comparing Duterte and Mar Roxas in 2016 goes viral	MISLEADING	http://verafiles.org/articles/vera-files-fact-check-misleading-bea-alonzo-tweet-comparing	None	None	None	None	misleading,aga muhlach,bea alonzo	VERA FILES FACT CHECK: MISLEADING 'Bea Alonzo' tweet comparing Duterte and Mar Roxas in 2016 goes viral	October 26, 2018	None
8	VERA FILES FACT CHECK: Report about Bam Aquino using Boracay and Pasig River rehab efforts as election propaganda FAKE NEWS	FAKE	http://verafiles.org/articles/vera-files-fact-check-report-about-bam-aquino-using-boracay	None	None	None	None	fake news,Bam Aquino	VERA FILES FACT CHECK: Report about Bam Aquino using Boracay and Pasig River rehab efforts as election propaganda FAKE NEWS	October 26, 2018	None
9	On Oct. 18, a day after he was sworn in as the country’s top diplomat, Locsin posted on his Twitter account:	None	http://verafiles.org/articles/vera-files-fact-check-phs-new-top-diplomat-locsin-makes-wron	Locsin’s claim is wrong.	None	None	None	teddy,locsin,human rights council	VERA FILES FACT CHECK: PH’s top diplomat Locsin makes wrong claim about UN Human Rights Council	October 25, 2018	None
10	VERA FILES FACT CHECK: Panelo flip-flops on PH’s withdrawal from ICC	None	http://verafiles.org/articles/vera-files-fact-check-panelo-flip-flops-phs-withdrawal-icc	None	None	None	None	ICC,Panelo	VERA FILES FACT CHECK: Panelo flip-flops on PH’s withdrawal from ICC	October 24, 2018	None
