claim_id  claim  label  claim_url  reason  categories  speaker  checker  tags  article_title  publish_date  claim_date
1   I would note that Planned Parenthood opposed three pro-choice justices just because they were nominated by Republican presidents, David Souter, Sandra Day O'Connor and Justice Kennedy. They said the same thing: Women will die.   False    https://www.washingtonpost.com/politics/2018/10/09/susan-collinss-wrong-claim-planned-parenthood-supreme-court-justices/   None   None   Susan Collins   Glenn Kessler   None   Susan Collins's wrong claim on Planned Parenthood and Supreme Court justices   October 9 at 3:00 AM   None
3_1   Dr. Ford's allegation is not merely uncorroborated, it is refuted by the very people she says were there, including by a longtime friend of hers. \xe2\x80\xa6 The witnesses who were there say that it didn't happen.   Not the Whole Story    https://www.washingtonpost.com/politics/2018/10/05/brett-kavanaughs-testimony-what-was-misleading-what-was-not/   None   None   Brett Kavanaugh   Glenn Kessler   None   Brett Kavanaugh's testimony: What was misleading, what was not   October 5   None
3_2   I never attended a gathering like the one Dr. Ford describes in her allegation. \xe2\x80\xa6 She and I did not travel in the same social circles.   Not the Whole Story    https://www.washingtonpost.com/politics/2018/10/05/brett-kavanaughs-testimony-what-was-misleading-what-was-not/   None   None   Brett Kavanaugh   Glenn Kessler   None   Brett Kavanaugh's testimony: What was misleading, what was not   October 5   None
4   Elaine Luria has quietly committed to step toward a big-government takeover of health care. It would cost $32 trillion. It could double the amount of taxes every individual and business pays, ending Medicare as we know it.   4 pinnochios    https://www.washingtonpost.com/politics/2018/10/04/gop-ads-falsely-depict-democrats-supporters-sanderss-health-plan/   None   None   National Republican Congressional Committee   Glenn Kessler   None   GOP ads falsely depict Democrats as supporters of Sanders's health plan   October 4   None
5   "Look at [Richard] Blumenthal. He lied about Vietnam. He didn't just say, \xe2\x80\x98Hey, I went to Vietnam.' No. No. For 15 years, he said he was a war hero, he fought in Da Nang province. We call him \xe2\x80\x98Da Nang Richard.' \xe2\x80\x98Da Nang' \xe2\x80\x94 that's his nickname. \xe2\x80\x98Da Nang.' He never went to Vietnam. And he's up there saying, \xe2\x80\x98We need honesty and we need integrity.' This guy lied when he was the attorney general of Connecticut. He lied. I don't mean a little bit. And then, when he got out \xe2\x80\x94 he actually dropped out of the race, and he won anyway because Democrats always win in Connecticut. He won very close, probably the closest ever. And when he got out and when he apologized, he was crying. The tears were all over the place.   4 pinnochios    https://www.washingtonpost.com/politics/2018/10/03/president-trumps-second-rant-richard-blumenthal-vietnam/   None   None   Donald Trump   Salvador Rizzo   None   President Trump's 90-second rant on Richard Blumenthal and Vietnam   October 3   None
6   I watched that hearing, and I watched a man saying that he did have difficulty as a young man with drink.   In dispute    https://www.washingtonpost.com/politics/2018/10/02/brett-kavanaugh-alcohol-two-dueling-narratives/   None   None   Donald Trump   Glenn Kessler   None   Brett Kavanaugh and alcohol: Two dueling narratives   October 2   None
7   Ammar Campa-Najjar is working to infiltrate Congress. He's used three different names to hide his family's ties to terrorism. His grandfather masterminded the Munich Olympic massacre. His father said they deserved to die. ... \xe2\x80\x98He is being supported by CAIR and the Muslim Brotherhood.' \xe2\x80\x98This is a well-orchestrated plan.' Ammar Campa-Najjar: A risk we can't ignore.   4 pinnochios    https://www.washingtonpost.com/politics/2018/10/01/indicted-congressman-falsely-ties-opponent-terrorism/   None   None   Attack ad from Rep. Duncan Hunter Jr.   Salvador Rizzo   None   Indicted congressman falsely ties opponent to terrorism   October 1   None
8   "Lyin' Bryan Steil has not manufactured anything in his life. ... [He] worked to send Wisconsin jobs overseas.   3 pinnochios    https://www.washingtonpost.com/politics/2018/09/28/dueling-ads-manufacturing-race-paul-ryans-seat/   None   None   Campaign ad for Randy Bryce   Salvador Rizzo   None   Dueling ads on manufacturing in the race for Paul Ryan's seat   September 28   None
10_1   You know I got 52 percent with women. Everyone said this couldn't happen \xe2\x80\x94 52 percent.   False    https://www.washingtonpost.com/politics/2018/09/27/fact-checking-president-trumps-statements-about-sexual-misconduct-allegations/   None   None   Donald Trump   Glenn Kessler   None   Fact-checking President Trump's statements about sexual misconduct allegations   September 26   None
10_2   I was accused by four or five women who got paid a lot of money to make up stories about me."   False    https://www.washingtonpost.com/politics/2018/09/27/fact-checking-president-trumps-statements-about-sexual-misconduct-allegations/   None   None   Donald Trump   Glenn Kessler   None   Fact-checking President Trump's statements about sexual misconduct allegations   September 26   None
