claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
1	Zimbabwe continues to import electricity from South Africa	None	https://zimfact.org/yes-neighbourly-south-africa-helps-keep-zimbabwes-lights-on/	“Can you guarantee South Africa, today, that the ANC will not benefit a cent from these deals that you have made in China?” the DA’s Jacques Julius asked in the National Council of Provinces on 11 September 2018.	in Fact Reports, Social Services	Source: South African President Cyril Ramaphosa (September 2018)	by Nelson Banya	None	Yes, neighbourly South Africa helps keep Zimbabwe’s lights on	2018-10-04T11:06:54+00:00	None
2	ZESN disowns ‘missing’ v11 forms claims	None	https://zimfact.org/zesn-disowns-missing-v11-forms-claims/	None	in Fact Reports	None	by Nelson Banya	None	ZESN disowns ‘missing’ v11 forms claims	2018-08-01T10:37:43+00:00	None
3	CLAIM: Sky News’ Africa correspondent, John Sparks took to Twitter on Monday to announce that President Emmerson Mnangagwa’s spokesperson, George Charamba, had told the news channel that the president had lost to opposition challenger Nelson Chamisa.	VERDICT: False. Charamba has denied making the concession, or speaking to Sky News.	https://zimfact.org/did-sky-news-fall-for-twitter-hoax/	None	in Fact Reports	None	by Nelson Banya	None	Did Sky News fall for Twitter hoax?	2018-07-31T18:45:58+00:00	None
4	Zimbabwe social media awash with false election results	None	https://zimfact.org/zimbabwe-social-media-awash-with-false-election-results/	None	in Fact Reports	None	by Nelson Banya	None	Zimbabwe social media awash with false election results	2018-07-31T12:18:26+00:00	None
5	False social media claim says rural voting postponed to July 31	None	https://zimfact.org/false-social-media-claim-says-rural-voting-postponed-to-july-31/	None	in Fact Reports	None	by Nelson Banya	None	False social media claim says rural voting postponed to July 31	2018-07-29T21:36:45+00:00	None
6	CLAIM: The Sunday Mail of June 16, 2018 led with the headline: ‘ED delivers 60 000 jobs.’ The newspaper attributes this to economic stabilisation under President Emmerson Mnangagwa’s new administration and also claims that 1 730 new companies were registered this year.	None	https://zimfact.org/has-ed-delivered-60000-jobs/	CONCLUSION: Misleading	in Economy, Elections 2018, Fact Reports, Politics	None	by Nelson Banya	None	Has ED delivered 60,000 jobs?	2018-07-23T09:36:31+00:00	None
7	ZANU-PF’s 4.5 million jobs claim false	None	https://zimfact.org/zanu-pfs-4-5-million-jobs-claim-false/	None	in Economy, Fact Reports	None	by Nelson Banya	None	ZANU-PF’s 4.5 million jobs claim false	2018-06-22T11:39:36+00:00	None
8	Are 7 out of 10 Zimbabweans living in poverty?	None	https://zimfact.org/are-7-out-of-10-zimbabweans-living-in-poverty/	None	in Elections 2018, Fact Reports	None	by Nelson Banya	None	Are 7 out of 10 Zimbabweans living in poverty?	2018-06-11T14:26:44+00:00	None
9	Did Chamisa brag about ‘impregnating any woman’?	None	https://zimfact.org/did-chamisa-brag-about-impregnating-any-woman/	None	in Elections 2018, Fact Reports	None	by Nelson Banya	None	Did Chamisa brag about ‘impregnating any woman’?	2018-05-21T15:11:25+00:00	None
10	On Friday, May 18, 2018, President Emmerson Mnangagwa said Zimbabwe had received a loan from the United Kingdom, which would go towards easing the country’s cash shortages.	None	https://zimfact.org/claim-that-uk-has-given-zim-100m-for-cash-shortages-incorrect/	While the loan will improve Zimbabwean businesses’ access to foreign currency, improve local production and reduce pressure on the country’s current account in the long term, it is incorrect to say, as Mnangagwa claimed, that the British have given Zimbabwe funds to ease its cash crisis.	in Economy, Fact Reports	None	by Nelson Banya	None	Claim that UK has given Zim $100m ‘for cash shortages’ incorrect	2018-05-21T13:09:02+00:00	None
11	About Zimpapers’ TV licence…	None	https://zimfact.org/about-zimpapers-tv-licence/	None	in Fact Reports	None	by Nelson Banya	None	About Zimpapers’ TV licence…	2018-05-16T20:18:16+00:00	None
